ID,state,temperature_avg,CDD,GDD,HDD,temperature_max,temperature_min,precipitation,snow_depth,snow_fall
1866-01,AR,,,,,,,,,
1866-02,AR,,,,,,,,,
1866-03,AR,,,,,,,,,
1866-04,AR,,,,,,,,,
1866-05,AR,,,,,,,,,
1866-06,AR,,,,,,,,,
1866-07,AR,,,,,,,,,
1866-08,AR,,,,,,,,,
1866-09,AR,,,,,,,,,
1866-10,AR,,,,,,,,,
1866-11,AR,,,,,,,,,
1866-12,AR,,,,,,,,,
1867-01,AR,,,,,,,,,
1867-02,AR,,,,,,,,,
1867-03,AR,,,,,,,,,
1867-04,AR,,,,,,,,,
1867-05,AR,,,,,,,,,
1867-06,AR,,,,,,,,,
1867-07,AR,,,,,,,,,
1867-08,AR,,,,,,,,,
1867-09,AR,,,,,,,,,
1867-10,AR,,,,,,,,,
1867-11,AR,,,,,,,,,
1867-12,AR,,,,,,,,,
1868-01,AR,,,,,,,,,
1868-02,AR,,,,,,,,,
1868-03,AR,,,,,,,,,
1868-04,AR,,,,,,,,,
1868-05,AR,,,,,,,,,
1868-06,AR,,,,,,,,,
1868-07,AR,,,,,,,,,
1868-08,AR,,,,,,,,,
1868-09,AR,,,,,,,,,
1868-10,AR,,,,,,,,,
1868-11,AR,,,,,,,,,
1868-12,AR,,,,,,,,,
1869-01,AR,,,,,,,,,
1869-02,AR,,,,,,,,,
1869-03,AR,,,,,,,,,
1869-04,AR,,,,,,,,,
1869-05,AR,,,,,,,,,
1869-06,AR,,,,,,,,,
1869-07,AR,,,,,,,,,
1869-08,AR,,,,,,,,,
1869-09,AR,,,,,,,,,
1869-10,AR,,,,,,,,,
1869-11,AR,,,,,,,,,
1869-12,AR,,,,,,,,,
1870-01,AR,,,,,,,,,
1870-02,AR,,,,,,,,,
1870-03,AR,,,,,,,,,
1870-04,AR,,,,,,,,,
1870-05,AR,,,,,,,,,
1870-06,AR,,,,,,,,,
1870-07,AR,,,,,,,,,
1870-08,AR,,,,,,,,,
1870-09,AR,,,,,,,,,
1870-10,AR,,,,,,,,,
1870-11,AR,,,,,,,,,
1870-12,AR,,,,,,,,,
1871-01,AR,,,,,,,,,
1871-02,AR,,,,,,,,,
1871-03,AR,,,,,,,,,
1871-04,AR,,,,,,,,,
1871-05,AR,,,,,,,,,
1871-06,AR,,,,,,,,,
1871-07,AR,,,,,,,,,
1871-08,AR,,,,,,,,,
1871-09,AR,,,,,,,,,
1871-10,AR,,,,,,,,,
1871-11,AR,,,,,,,,,
1871-12,AR,,,,,,,,,
1872-01,AR,,,,,,,,,
1872-02,AR,,,,,,,,,
1872-03,AR,,,,,,,,,
1872-04,AR,,,,,,,,,
1872-05,AR,,,,,,,,,
1872-06,AR,,,,,,,,,
1872-07,AR,,,,,,,,,
1872-08,AR,,,,,,,,,
1872-09,AR,,,,,,,,,
1872-10,AR,,,,,,,,,
1872-11,AR,,,,,,,,,
1872-12,AR,,,,,,,,,
1873-01,AR,,,,,,,,,
1873-02,AR,,,,,,,,,
1873-03,AR,,,,,,,,,
1873-04,AR,,,,,,,,,
1873-05,AR,,,,,,,,,
1873-06,AR,,,,,,,,,
1873-07,AR,,,,,,,,,
1873-08,AR,,,,,,,,,
1873-09,AR,,,,,,,,,
1873-10,AR,,,,,,,,,
1873-11,AR,,,,,,,,,
1873-12,AR,,,,,,,,,
1874-01,AR,,,,,,,,,
1874-02,AR,,,,,,,,,
1874-03,AR,,,,,,,,,
1874-04,AR,,,,,,,,,
1874-05,AR,,,,,,,,,
1874-06,AR,,,,,,,,,
1874-07,AR,,,,,,,,,
1874-08,AR,,,,,,,,,
1874-09,AR,,,,,,,,,
1874-10,AR,,,,,,,,,
1874-11,AR,,,,,,,,,
1874-12,AR,,,,,,,,,
1875-01,AR,,,,,,,,,
1875-02,AR,,,,,,,,,
1875-03,AR,,,,,,,,,
1875-04,AR,,,,,,,4.27,0,
1875-05,AR,,,,,,,,0,0
1875-06,AR,,,,,,,2.14,0,0
1875-07,AR,,,,,,,1.99,0,0
1875-08,AR,,,,,,,1.42,0,0
1875-09,AR,,,,,,,4.18,0,0
1875-10,AR,,,,,,,0.51,0,0
1875-11,AR,,,,,,,4.38,0,0
1875-12,AR,,,,,,,4.03,0,
1876-01,AR,,,,,,,8.47,0,0
1876-02,AR,,,,,,,2.56,0,0
1876-03,AR,,,,,,,9.55,7,8
1876-04,AR,,,,,,,4.02,0,
1876-05,AR,,,,,,,5.96,0,0
1876-06,AR,,,,,,,3.71,0,0
1876-07,AR,,,,,,,5.89,0,0
1876-08,AR,,,,,,,2.65,0,0
1876-09,AR,,,,,,,0.64,0,0
1876-10,AR,,,,,,,6.99,0,0
1876-11,AR,,,,,,,1.5,0,0
1876-12,AR,,,,,,,2,6,6
1877-01,AR,,,,,,,2.68,,2
1877-02,AR,,,,,,,2.1,0,0
1877-03,AR,,,,,,,2.81,1,1
1877-04,AR,,,,,,,13.9,0,0
1877-05,AR,,,,,,,0.7,0,0
1877-06,AR,,,,,,,10.53,0,0
1877-07,AR,,,,,,,0.74,0,0
1877-08,AR,,,,,,,3.36,0,0
1877-09,AR,,,,,,,7.17,0,0
1877-10,AR,,,,,,,6.82,0,0
1877-11,AR,,,,,,,5.64,0,0
1877-12,AR,,,,,,,4.96,0,0
1878-01,AR,,,,,,,3.9,,5
1878-02,AR,,,,,,,2.14,,
1878-03,AR,,,,,,,6.72,0,0
1878-04,AR,,,,,,,14.29,0,0
1878-05,AR,,,,,,,9.88,,
1878-06,AR,,,,,,,6.43,,
1878-07,AR,,,,,,,5.54,,
1878-08,AR,,,,,,,5.19,,
1878-09,AR,,,,,,,1.6,,
1878-10,AR,,,,,,,2.45,,
1878-11,AR,,,,,,,3.65,,
