ID,fertilizer_price_index_all,fertilizer_price_index_nitrogen,fertilizer_price_index_phosphate,oil_price,meat_total(kg/capita),meat_total_us(lb/capita),fruits(kg/capita),vegetable(kg/capita),coffee_us(gal/capita),tea_us(gal/capita),cocoa_us(lb/capita),co2(ppm),population_us_total,population_us_asian,population_world,population_asia_all,population_asia_east&southeast,cpi_us,gini_us,harvestedarea_rice_asia(ha),yield_rice_asia(hg/ha),production_rice_asia(ton),food_consumption_us(kcal),crop_price_us
1900-01,2.687540155,9.292814424,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,211.48788040761252,51288030.563694686,111193.88333333333,312932.23199997284,56415.69699998642,96662.79500000295,8.664285714285729,26.981158292384556,85723838.34159613,5954.000000000002,68840805.99999997,3007.102824788475,106.0
1900-02,2.701685105,9.297348517,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,211.62249089249875,51474386.950466245,111466.16666666667,316540.13616663957,58598.259166653115,97881.04000000295,8.671428571428585,26.9915857942469,85764682.2802309,5971.000000000002,68840805.99999997,3007.7380582147302,106.0
1900-03,2.715830054,9.301882611,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,211.757101377385,51660743.33723781,111738.45,320148.04033330624,60780.8213333198,99099.28500000294,8.678571428571443,27.002013296109244,85805526.21886565,5988.000000000002,68840805.99999997,3008.373291640986,106.0
1900-04,2.729975004,9.306416705,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,211.89171186227122,51847099.72400937,112010.73333333334,323755.944499973,62963.38349998649,100317.53000000294,8.6857142857143,27.01244079797159,85846370.15750042,6005.000000000002,68840805.99999997,3009.008525067241,106.0
1900-05,2.744119954,9.310950799,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.02632234715745,52033456.11078093,112283.01666666666,327363.8486666397,65145.94566665318,101535.77500000293,8.692857142857157,27.02286829983393,85887214.09613517,6022.000000000002,68840805.99999997,3009.643758493496,106.0
1900-06,2.758264903,9.315484892,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.16093283204367,52219812.49755249,112555.3,330971.7528333064,67328.50783331986,102754.02000000293,8.700000000000014,27.033295801696276,85928058.03476994,6039.000000000002,68840805.99999997,3010.278991919751,106.0
1900-07,2.772409853,9.320018986,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.29554331692992,52406168.88432406,112827.58333333333,334579.6569999731,69511.06999998656,103972.26500000292,8.707142857142872,27.043723303558618,85968901.97340469,6056.000000000002,68840805.99999997,3010.914225346007,106.0
1900-08,2.786554802,9.32455308,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.43015380181615,52592525.27109562,113099.86666666667,338187.56116663985,71693.63216665325,105190.51000000292,8.714285714285728,27.054150805420964,86009745.91203946,6073.000000000002,68840805.99999997,3011.549458772262,106.0
1900-09,2.800699752,9.329087173,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.56476428670237,52778881.65786718,113372.15,341795.4653333065,73876.19433331993,106408.75500000292,8.721428571428586,27.064578307283305,86050589.85067421,6090.000000000002,68840805.99999997,3012.184692198517,106.0
1900-10,2.814844702,9.333621267,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.69937477158862,52965238.04463874,113644.43333333333,345403.36949997325,76058.75649998663,107627.00000000291,8.728571428571442,27.07500580914565,86091433.78930898,6107.000000000002,68840805.99999997,3012.819925624772,106.0
1900-11,2.828989651,9.338155361,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.83398525647485,53151594.431410305,113916.71666666666,349011.2736666399,78241.31866665331,108845.2450000029,8.7357142857143,27.085433311007993,86132277.72794373,6124.000000000002,68840805.99999997,3013.4551590510277,106.0
1900-12,2.843134601,9.342689455,1.0,7.48391,10.80385195,80.945119,34.53915883,11.24328674,31.1172148,7.559066086,2.226136205,212.96859574136107,53337950.818181865,114189.0,352619.17783330666,80423.88083332,110063.4900000029,8.742857142857156,27.095860812870338,86173121.6665785,6141.000000000002,68840805.99999997,3014.090392477283,106.0
1901-01,2.857279551,9.347223548,1.0,6.03744,11.13194507,81.88983847,34.96023976,11.24328674,31.09793953,7.554735492,2.255587938,213.1032062262473,53524307.204953425,114461.28333333333,356227.0819999734,82606.4429999867,111281.7350000029,8.750000000000014,27.10628831473268,86213965.60521325,6158.000000000002,68840805.99999997,3014.725625903538,106.0
