ID,state,temperature_avg,CDD,GDD,HDD,temperature_max,temperature_min,precipitation,snow_depth,snow_fall,sunlight_svm,sunlight_reg,crop,productions_spring,harvested_spring,cultivated_spring,productions_winter,harvested_winter,cultivated_winter
1900-01,AR,44.3,0.0,54.0,634.0,69.0,13.0,2.61,1.0,3.032499378,144.0,144.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-02,AR,40.6,0.0,24.0,676.0,72.0,5.0,4.46,0.956963922,0.1,122.0,122.0,Rice,421763.14548571425,325571.4285714285,325571.4285714285,,,
1900-03,AR,52.4,7.0,166.0,392.0,86.0,22.0,1.23,0.674807229,0.966743935,194.0,194.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-04,AR,63.4,66.0,418.0,108.0,86.0,33.0,3.51,0.0,0.0,204.0,204.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-05,AR,70.3,186.0,637.0,14.0,88.0,44.0,4.11,0.0,0.0,291.0,291.0,Rice,421763.14548571425,325571.42857142864,325571.42857142864,,,
1900-06,AR,76.6,356.0,806.0,0.0,94.0,64.0,5.52,0.0,0.0,287.0,287.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-07,AR,79.9,468.0,933.0,0.0,93.0,68.0,3.77,0.0,0.0,320.0,320.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-08,AR,81.0,503.0,968.0,0.0,96.0,64.0,4.31,0.0,0.0,366.0,366.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-09,AR,78.2,403.0,853.0,0.0,95.0,56.0,3.31,0.0,0.0,272.0,272.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-10,AR,66.6,102.0,519.0,48.0,86.0,47.0,2.49,0.0,0.0,224.0,224.0,Rice,421763.14548571425,325571.4285714286,325571.4285714286,,,
1900-11,AR,53.0,8.0,171.0,363.0,76.0,27.0,4.88,0.0,0.0,185.0,185.0,Rice,421763.1454857143,325571.42857142864,325571.42857142864,,,
1900-12,AR,46.3,0.0,27.0,572.0,69.0,29.0,3.34,0.0,0.0,180.0,180.0,Rice,421763.1454857143,325571.4285714286,325571.4285714286,,,
1901-01,AR,47.0,0.0,78.0,550.0,71.0,23.0,2.11,0.0,3.028074968,190.0,190.0,Rice,413517.4841857143,320285.7142857143,320285.7142857143,,,
