ID,state,temperature_avg,CDD,GDD,HDD,temperature_max,temperature_min,precipitation,snow_depth,snow_fall,sunlight_svm,sunlight_reg,crop,productions_spring,harvested_spring,cultivated_spring,productions_winter,harvested_winter,cultivated_winter
1900-01,AR,44.3,0,54,634,69,13,2.61,1,3.032499378,144,144,Rice,,,,,,
1900-02,AR,40.6,0,24,676,72,5,4.46,0.956963922,0.1,122,122,Rice,,,,,,
1900-03,AR,52.4,7,166,392,86,22,1.23,0.674807229,0.966743935,194,194,Rice,,,,,,
1900-04,AR,63.4,66,418,108,86,33,3.51,0,0,204,204,Rice,,,,,,
1900-05,AR,70.3,186,637,14,88,44,4.11,0,0,291,291,Rice,,,,,,
1900-06,AR,76.6,356,806,0,94,64,5.52,0,0,287,287,Rice,,,,,,
1900-07,AR,79.9,468,933,0,93,68,3.77,0,0,320,320,Rice,,,,,,
1900-08,AR,81,503,968,0,96,64,4.31,0,0,366,366,Rice,,,,,,
1900-09,AR,78.2,403,853,0,95,56,3.31,0,0,272,272,Rice,,,,,,
1900-10,AR,66.6,102,519,48,86,47,2.49,0,0,224,224,Rice,,,,,,
1900-11,AR,53,8,171,363,76,27,4.88,0,0,185,185,Rice,,,,,,
1900-12,AR,46.3,0,27,572,69,29,3.34,0,0,180,180,Rice,,,,,,
1901-01,AR,47,0,78,550,71,23,2.11,0,3.028074968,190,190,Rice,,,,,,
1901-02,AR,41.4,0,15,652,71,22,1.71,0,0.1,153,153,Rice,,,,,,
1901-03,AR,51.8,3,143,406,81,20,4.43,0,0,251,251,Rice,,,,,,
1901-04,AR,59.3,49,306,213,91,37,4.96,0,0,258,258,Rice,,,,,,
1901-05,AR,68.8,141,590,16,90,48,2.45,0,0,269,269,Rice,,,,,,
1901-06,AR,79.5,448,890,8,98,53,1.19,0,0,355,355,Rice,,,,,,
1901-07,AR,83.8,592,1057,0,106,65,2.9,0,0,316,316,Rice,,,,,,
1901-08,AR,81.1,507,972,0,100,65,1.38,0,0,262,262,Rice,,,,,,
1901-09,AR,72.9,264,694,20,93,46,7.07,0,0,259,259,Rice,,,,,,
1901-10,AR,64.8,63,469,59,85,39,1.59,0,0,257,257,Rice,,,,,,
1901-11,AR,52.4,5,121,379,78,31,2.81,0,0,190,190,Rice,,,,,,
1901-12,AR,39.8,0,28,774,71,6,4.21,0.970807967,1.649671818,152,152,Rice,,,,,,
1902-01,AR,39.2,0,17,793,69,16,7.13,2,1.7,146,146,Rice,,,,,,
1902-02,AR,36.1,0,11,802,65,16,2.16,1,1.5,146,146,Rice,,,,,,
1902-03,AR,54.2,8,196,335,76,26,4.9,0,0,198,198,Rice,,,,,,
1902-04,AR,62.7,65,389,126,88,41,2.92,0,0,237,237,Rice,,,,,,
1902-05,AR,74.6,310,768,7,94,55,4.76,0,0,217,217,Rice,,,,,,
1902-06,AR,78.6,417,867,0,96,57,4.08,0,0,327,327,Rice,,,,,,
1902-07,AR,80.4,488,953,0,96,64,7.46,0,0,299,299,Rice,,,,,,
1902-08,AR,81.5,518,983,0,97,67,0.19,0,0,317,317,Rice,,,,,,
1902-09,AR,69.7,172,599,23,90,46,5.75,0,0,240,240,Rice,,,,,,
1902-10,AR,63.9,51,442,74,82,42,2.34,0,0,244,244,Rice,,,,,,
1902-11,AR,57.8,13,269,224,78,33,7.03,0,0,115,115,Rice,,,,,,
1902-12,AR,41.7,0,31,714,66,17,5.27,0.965714687,1,122,122,Rice,,,,,,
1903-01,AR,42.5,0,36,690,75,17,2.6,0,0,173,173,Rice,,,,,,
1903-02,AR,42.6,2,52,621,73,7,6.5,3,3.3,148,148,Rice,,,,,,
1903-03,AR,56.5,17,237,274,77,27,5.09,0,0.963009818,220,220,Rice,,,,,,
1903-04,AR,62,48,367,131,83,38,1.58,0,0.006825272,288,288,Rice,,,,,,
1903-05,AR,68.6,157,580,42,84,39,5.72,0,0,260,260,Rice,,,,,,
1903-06,AR,71.6,223,655,18,92,53,0.76,0,0,309,309,Rice,,,,,,
1903-07,AR,80,472,937,0,94,67,6.18,0,0,318,318,Rice,,,,,,
1903-08,AR,79.1,445,910,0,92,64,4.49,0,0,312,312,Rice,,,,,,
1903-09,AR,71.4,218,650,18,91,47,2.09,0,0,264,264,Rice,,,,,,
1903-10,AR,62.4,63,394,134,87,39,2.04,0,0,240,240,Rice,,,,,,
1903-11,AR,49,1,133,472,76,20,0.66,0,0,145,145,Rice,,,,,,
1903-12,AR,41.6,0,10,720,65,18,2.6,1,0.5,185,185,Rice,,,,,,
1904-01,AR,41.3,0,37,730,66,9,2.58,0,3.014801739,183,183,Rice,,,,,,
1904-02,AR,45.6,6,86,565,79,23,3.13,0,0,144,144,Rice,,,,,,
1904-03,AR,56.1,21,231,289,83,28,5.31,0,0,184,184,Rice,,,,,,
1904-04,AR,58,19,253,219,82,36,3.68,0,0,181,181,Rice,,,,,,
1904-05,AR,68.5,136,582,19,89,48,3.04,0,0,251,251,Rice,,,,,,
1904-06,AR,76.4,348,798,0,92,63,8.01,0,0,236,236,Rice,,,,,,
1904-07,AR,78.6,429,894,0,93,65,3.69,0,0,321,321,Rice,,,,,,
1904-08,AR,78.8,438,903,0,96,62,2.1,0,0,306,306,Rice,,,,,,
1904-09,AR,76.1,342,791,1,93,53,0.86,0,0,243,243,Rice,,,,,,
1904-10,AR,64,78,443,100,86,40,0.69,0,0,284,284,Rice,,,,,,
1904-11,AR,53.3,0,150,346,75,29,1.35,0,0.397349583,182,182,Rice,,,,,,
1904-12,AR,44.1,0,59,639,70,19,5.64,0.955528127,0.6,142,142,Rice,,,,,,
1905-01,AR,34.3,0,6,943,65,5,4.03,2,3,155,155,Rice,,,,,,
1905-02,AR,33.5,0,16,875,71,0,1.92,5,9.9,138,138,Rice,,,,,,
1905-03,AR,58.8,7,282,183,79,39,3.3,0,0,202.5,202.5,Rice,,,,,,
1905-04,AR,62.4,65,382,136,86,39,7.72,0,0,218.5,218.5,Rice,,,,,,
1905-05,AR,71.8,223,686,2,90,53,8.08,0,0,233,233,Rice,,,,,,
1905-06,AR,78.5,413,863,0,95,63,7.16,0,0,293,293,Rice,,,,,,
1905-07,AR,77.3,390,855,0,92,62,3.63,0,0,254,254,Rice,,,,,,
1905-08,AR,80,471,936,0,95,66,4.01,0,0,320.5,320.5,Rice,,,,,,
1905-09,AR,75,309,759,0,89,57,1.34,0,0,246.5,246.5,Rice,,,,,,
1905-10,AR,62.5,84,397,153,85,40,3.47,0,0,201.5,201.5,Rice,,,,,,
1905-11,AR,54.8,7,184,305,78,24,5.72,0,0,172,172,Rice,,,,,,
1905-12,AR,40,0,0,766,58,25,5.34,1,3.5,163.5,163.5,Rice,,,,,,
1906-01,AR,45.1,5,61,613,74,17,4.39,2.16293071,0.2,178.5,178.5,Rice,,,,,,
1906-02,AR,42.5,0,53,620,70,13,2.07,0.98760678,1.5,206.5,206.5,Rice,,,,,,
1906-03,AR,46,3,50,585,72,25,3.64,0.650949271,0.8,153.5,153.5,Rice,,,,,,
1906-04,AR,65.1,87,462,77,88,39,1.62,0,0,285.33,285.33,Rice,,,,,,
1906-05,AR,69.5,188,611,42,90,45,5.01,0,0,341,341,Rice,,,,,,
1906-06,AR,77.6,386,836,0,95,60,4.5,0,0,326,326,Rice,,,,,,
