"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,069","16.4"
"CENSUS","2012","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","35,654","9.9"
"CENSUS","2007","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)",""
"CENSUS","2002","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","28,951",""
"SURVEY","2018","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2017","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,000",""
"SURVEY","2016","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","8,000",""
"SURVEY","2015","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","43,000",""
"SURVEY","2014","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","32,000",""
"SURVEY","2013","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","24,000",""
"SURVEY","2012","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","32,000",""
"SURVEY","2011","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","21,000",""
"SURVEY","2010","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","55,000",""
"SURVEY","2009","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WHEAT","WHEAT, WINTER - ACRES HARVESTED","TOTAL","NOT SPECIFIED","35,000",""
