"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","113,632","31.5"
"CENSUS","2012","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","140,210","59.7"
"CENSUS","2007","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","184,348",""
"CENSUS","2002","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","127,822",""
"CENSUS","1997","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","1,041,882",""
"SURVEY","2018","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","84,000",""
"SURVEY","2017","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","108,000",""
"SURVEY","2016","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","231,000",""
"SURVEY","2015","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","246,000",""
"SURVEY","2014","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","180,000",""
"SURVEY","2013","YEAR","","STATE","SOUTH DAKOTA","46","","","","","","","00000000","","WHEAT","WHEAT, SPRING, DURUM - PRODUCTION, MEASURED IN BU","TOTAL","NOT SPECIFIED","168,000",""
