"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","82,835,358","7.1"
"CENSUS","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","96,847,596","2.7"
"CENSUS","2007","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","96,033,069",""
"CENSUS","2002","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","97,254,798",""
"CENSUS","1997","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","80,020,635",""
"SURVEY","2022","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","80,340,000",""
"SURVEY","2021","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","91,063,000",""
"SURVEY","2020","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","108,107,000",""
"SURVEY","2019","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","84,257,000",""
"SURVEY","2018","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","106,947,000",""
"SURVEY","2017","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","82,644,000",""
"SURVEY","2016","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","105,314,000",""
"SURVEY","2015","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","94,710,000",""
"SURVEY","2014","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","111,957,000",""
"SURVEY","2013","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","80,435,000",""
"SURVEY","2012","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","96,109,000",""
"SURVEY","2011","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","78,100,000",""
"SURVEY","2010","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","115,675,000",""
"SURVEY","2009","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","99,924,000",""
"SURVEY","2008","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","92,938,000",""
"SURVEY","2007","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","95,814,000",""
"SURVEY","2006","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","96,565,000",""
"SURVEY","2005","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","108,792,000",""
"SURVEY","2004","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","108,560,000",""
"SURVEY","2003","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","96,188,000",""
"SURVEY","2002","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","96,752,000",""
"SURVEY","2001","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","102,858,000",""
"SURVEY","2000","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","86,112,000",""
"SURVEY","1999","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","95,054,000",""
"SURVEY","1998","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","86,124,000",""
"SURVEY","1997","YEAR","","STATE","ARKANSAS","05","","","","","","","00000000","","RICE","RICE - PRODUCTION, MEASURED IN CWT","TOTAL","NOT SPECIFIED","79,220,000",""
