"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","450,000",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","425,000",""
"SURVEY","2021","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","420,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","480,000",""
"SURVEY","2019","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","425,000",""
"SURVEY","2018","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","440,000",""
"SURVEY","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","400,000",""
"SURVEY","2016","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","437,000",""
"SURVEY","2015","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","420,000",""
"SURVEY","2014","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","466,000",""
"SURVEY","2013","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","418,000",""
"SURVEY","2012","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","402,000",""
"SURVEY","2011","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","423,000",""
"SURVEY","2010","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","540,000",""
"SURVEY","2009","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","470,000",""
"SURVEY","2008","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","470,000",""
"SURVEY","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","380,000",""
"SURVEY","2006","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","350,000",""
"SURVEY","2005","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","530,000",""
"SURVEY","2004","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","538,000",""
"SURVEY","2003","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","455,000",""
"SURVEY","2002","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","540,000",""
"SURVEY","2001","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","548,000",""
"SURVEY","2000","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","485,000",""
"SURVEY","1999","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","620,000",""
"SURVEY","1998","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","625,000",""
"SURVEY","1997","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","585,000",""
"SURVEY","1996","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","535,000",""
"SURVEY","1995","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","575,000",""
"SURVEY","1994","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","625,000",""
"SURVEY","1993","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","545,000",""
"SURVEY","1992","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","630,000",""
"SURVEY","1991","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","560,000",""
"SURVEY","1990","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","555,000",""
"SURVEY","1989","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","505,000",""
"SURVEY","1988","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","545,000",""
"SURVEY","1987","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","425,000",""
"SURVEY","1986","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","430,000",""
"SURVEY","1985","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","465,000",""
"SURVEY","1984","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","530,000",""
"SURVEY","1983","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","390,000",""
"SURVEY","1982","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","600,000",""
"SURVEY","1981","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","670,000",""
"SURVEY","1980","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","615,000",""
"SURVEY","1979","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","530,000",""
"SURVEY","1978","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","590,000",""
"SURVEY","1977","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","480,000",""
"SURVEY","1976","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","570,000",""
"SURVEY","1975","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","660,000",""
"SURVEY","1974","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","661,000",""
"SURVEY","1973","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES PLANTED","TOTAL","NOT SPECIFIED","624,000",""
