"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","397,653","18.7"
"CENSUS","2012","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","395,063","4.5"
"CENSUS","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","377,115",""
"CENSUS","2002","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","538,518",""
"CENSUS","1997","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","583,734",""
"SURVEY","2022","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","415,000",""
"SURVEY","2021","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","413,000",""
"SURVEY","2020","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","473,000",""
"SURVEY","2019","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","414,000",""
"SURVEY","2018","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","436,000",""
"SURVEY","2017","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","395,000",""
"SURVEY","2016","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","428,000",""
"SURVEY","2015","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","415,000",""
"SURVEY","2014","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","462,000",""
"SURVEY","2013","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","413,000",""
"SURVEY","2012","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","397,000",""
"SURVEY","2011","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","418,000",""
"SURVEY","2010","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","535,000",""
"SURVEY","2009","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","464,000",""
"SURVEY","2008","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","464,000",""
"SURVEY","2007","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","378,000",""
"SURVEY","2006","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","345,000",""
"SURVEY","2005","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","525,000",""
"SURVEY","2004","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","533,000",""
"SURVEY","2003","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","450,000",""
"SURVEY","2002","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","535,000",""
"SURVEY","2001","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","546,000",""
"SURVEY","2000","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","480,000",""
"SURVEY","1999","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","616,000",""
"SURVEY","1998","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","620,000",""
"SURVEY","1997","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","583,000",""
"SURVEY","1996","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","533,000",""
"SURVEY","1995","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","570,000",""
"SURVEY","1994","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","620,000",""
"SURVEY","1993","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","530,000",""
"SURVEY","1992","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","620,000",""
"SURVEY","1991","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","510,000",""
"SURVEY","1990","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","545,000",""
"SURVEY","1989","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","485,000",""
"SURVEY","1988","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","535,000",""
"SURVEY","1987","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","420,000",""
"SURVEY","1986","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","426,000",""
"SURVEY","1985","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","463,000",""
"SURVEY","1984","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","528,000",""
"SURVEY","1983","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","385,000",""
"SURVEY","1982","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","598,000",""
"SURVEY","1981","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","667,000",""
"SURVEY","1980","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","585,000",""
"SURVEY","1979","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","528,000",""
"SURVEY","1978","YEAR","","STATE","LOUISIANA","22","","","","","","","00000000","","RICE","RICE - ACRES HARVESTED","TOTAL","NOT SPECIFIED","587,000",""
