,AR,CA,IA,IL,LA,MN,ND,NE,SD,sunlight_svm,ID
12,1,0,0,0,0,0,0,0,0,162.10137939453125,2023-01
13,1,0,0,0,0,0,0,0,0,176.3875732421875,2023-02
14,1,0,0,0,0,0,0,0,0,216.07196044921875,2023-03
15,1,0,0,0,0,0,0,0,0,247.41148376464844,2023-04
16,1,0,0,0,0,0,0,0,0,292.6685791015625,2023-05
17,1,0,0,0,0,0,0,0,0,325.00299072265625,2023-06
18,1,0,0,0,0,0,0,0,0,338.95770263671875,2023-07
19,1,0,0,0,0,0,0,0,0,300.3031005859375,2023-08
20,1,0,0,0,0,0,0,0,0,257.30999755859375,2023-09
21,1,0,0,0,0,0,0,0,0,235.70352172851562,2023-10
22,1,0,0,0,0,0,0,0,0,174.14532470703125,2023-11
23,1,0,0,0,0,0,0,0,0,150.23101806640625,2023-12
24,1,0,0,0,0,0,0,0,0,161.93560791015625,2024-01
25,1,0,0,0,0,0,0,0,0,176.99154663085938,2024-02
26,1,0,0,0,0,0,0,0,0,215.82913208007812,2024-03
27,1,0,0,0,0,0,0,0,0,247.137939453125,2024-04
28,1,0,0,0,0,0,0,0,0,292.42718505859375,2024-05
29,1,0,0,0,0,0,0,0,0,324.87030029296875,2024-06
30,1,0,0,0,0,0,0,0,0,338.655517578125,2024-07
31,1,0,0,0,0,0,0,0,0,300.12542724609375,2024-08
32,1,0,0,0,0,0,0,0,0,257.2113342285156,2024-09
33,1,0,0,0,0,0,0,0,0,235.58767700195312,2024-10
34,1,0,0,0,0,0,0,0,0,174.04525756835938,2024-11
35,1,0,0,0,0,0,0,0,0,150.10289001464844,2024-12
36,1,0,0,0,0,0,0,0,0,161.7773895263672,2025-01
37,1,0,0,0,0,0,0,0,0,177.6219482421875,2025-02
38,1,0,0,0,0,0,0,0,0,215.58444213867188,2025-03
39,1,0,0,0,0,0,0,0,0,246.8518829345703,2025-04
40,1,0,0,0,0,0,0,0,0,292.1766052246094,2025-05
41,1,0,0,0,0,0,0,0,0,324.7353210449219,2025-06
42,1,0,0,0,0,0,0,0,0,338.3675537109375,2025-07
43,1,0,0,0,0,0,0,0,0,299.94390869140625,2025-08
44,1,0,0,0,0,0,0,0,0,257.10870361328125,2025-09
45,1,0,0,0,0,0,0,0,0,235.46939086914062,2025-10
46,1,0,0,0,0,0,0,0,0,173.9401092529297,2025-11
47,1,0,0,0,0,0,0,0,0,149.97311401367188,2025-12
48,1,0,0,0,0,0,0,0,0,161.62513732910156,2026-01
49,1,0,0,0,0,0,0,0,0,178.27520751953125,2026-02
50,1,0,0,0,0,0,0,0,0,215.3383026123047,2026-03
51,1,0,0,0,0,0,0,0,0,246.553466796875,2026-04
52,1,0,0,0,0,0,0,0,0,291.91741943359375,2026-05
