DULUTH,NORTH LITTLE,FORT SMITH,BENTONVILLE,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(144, 122, 194, 204, 291, 287, 320, 366, 272, 224, 185, 180, 2790)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(144.0, 122.0, 194.0, 204.0, 291.0, 287.0, 320.0, 366.0, 272.0, 224.0, 185.0, 180.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(190, 153, 251, 258, 269, 355, 316, 262, 259, 257, 190, 152, 2910)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(190.0, 153.0, 251.0, 258.0, 269.0, 355.0, 316.0, 262.0, 259.0, 257.0, 190.0, 152.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(146, 146, 198, 237, 217, 327, 299, 317, 240, 244, 115, 122, 2608)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(146.0, 146.0, 198.0, 237.0, 217.0, 327.0, 299.0, 317.0, 240.0, 244.0, 115.0, 122.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(173, 148, 220, 288, 260, 309, 318, 312, 264, 240, 145, 185, 2862)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(173.0, 148.0, 220.0, 288.0, 260.0, 309.0, 318.0, 312.0, 264.0, 240.0, 145.0, 185.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(183, 144, 184, 181, 251, 236, 321, 306, 243, 284, 182, 142, 2659)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(183.0, 144.0, 184.0, 181.0, 251.0, 236.0, 321.0, 306.0, 243.0, 284.0, 182.0, 142.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(142, 128, 189, 201, 195, 253, 235, 283, 234, 189, 144, 165, 2360)","(168, 148, 216, 236, 271, 333, 273, 358, 259, 214, 200, 162, 2837)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155.0, 138.0, 202.5, 218.5, 233.0, 293.0, 254.0, 320.5, 246.5, 201.5, 172.0, 163.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(178, 212, 171, 289, 335, 343, 315, 326, 224, 247, 179, 105, 2924)","(179, 201, 136, 259, 299, 294, 290, 271, 230, 245, 153, 111, 2668)","(-99, -99, -99, 308, 389, 341, 308, 209, 185, 205, 159, 93, -99)","(178.5, 206.5, 153.5, 285.33, 341.0, 326.0, 304.33, 268.67, 213.0, 232.33, 163.67, 103.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(113, 166, 213, 184, 263, 318, 386, 317, 316, 264, 191, 144, 2876)","(92, 176, 205, 188, 232, 332, 380, 321, 305, 225, 186, 155, 2797)","(92, 169, 191, 144, 227, 243, 388, 300, 285, 217, 191, 154, 2601)","(99.0, 170.33, 203.0, 172.0, 240.67, 297.67, 384.67, 312.67, 302.0, 235.33, 189.33, 151.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(165, 168, 210, 195, 261, 311, 337, 297, 212, 256, 185, 160, 2758)","(176, 178, 213, 171, 260, 274, 332, 297, 189, 259, 175, 142, 2665)","(201, 155, 191, 164, 292, 286, 338, 299, 173, 257, 178, 167, 2701)","(180.67, 167.0, 204.67, 176.67, 271.0, 290.33, 335.67, 297.67, 191.33, 257.33, 179.33, 156.33)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(84, 181, 226, 261, 257, 284, 369, 333, 279, 282, 177, 164, 2896)","(89, 208, 218, 245, 281, 270, 352, 284, 266, 266, 165, 163, 2806)","(74, 188, 192, 235, 278, 249, 351, 293, 270, 249, 143, 191, 2712)","(82.33, 192.33, 212.0, 247.0, 272.0, 267.67, 357.33, 303.33, 271.67, 265.67, 161.67, 172.67)"
