SVM,REG
"(168.32106459047355, 173.29915506611005, 222.97683455207408, 251.7911097623689, 293.5661832823071, 323.2600814542756, 336.4180569929346, 311.50753463147805, 258.8437399528407, 239.23121962887095, 174.5295221959903, 151.56918420221876)","(172.6221865203762, 179.75431818181823, 231.68849529780573, 258.2406504702195, 303.32858150470224, 323.7049294670846, 342.65404388714734, 313.53362068965515, 258.193894984326, 234.4580564263323, 166.0219514106583, 155.63682601880876)"
"(168.25930659011433, 173.1709529279835, 222.86058180741387, 251.69644890027024, 293.4114489416471, 323.11115605904905, 336.3858296035477, 311.46858369412894, 258.9880999352045, 239.1898485236544, 174.4832425358699, 151.55922551839328)","(172.9453715085766, 180.04369765066394, 232.03381133105563, 258.5950573245043, 303.7181512627242, 323.9655381987249, 343.01556734528543, 313.7351320841111, 258.20050958050086, 234.45541571272585, 165.8840407171287, 155.75681598041632)"
"(168.1769325498055, 173.0242501315873, 222.72372668989266, 251.58224315809082, 293.2276957485632, 322.94244988264893, 336.31682143394636, 311.4122845597995, 259.11326028619635, 239.14648401965619, 174.44409881937554, 151.54373862192404)","(173.26855649677714, 180.33307711950977, 232.37912736430565, 258.94946417878907, 304.1077210207461, 324.22614693036525, 343.37709080342364, 313.93664347856713, 258.2071241766757, 234.45277499911944, 165.74613002359905, 155.87680594202388)"
"(168.07542507879512, 172.86103357878818, 222.5681934842353, 251.45015497183326, 293.01742454305315, 322.7560623918709, 336.2130198827345, 311.3396742799319, 259.2190434668095, 239.10169090632584, 174.4122564070527, 151.52316318425727)","(173.59174148497766, 180.62245658835548, 232.72444339755566, 259.30387103307385, 304.49729077876793, 324.4867556620056, 343.73861426156174, 314.1381548730231, 258.21373877285055, 234.450134285513, 165.6082193300694, 155.99679590363144)"
"(167.9563670993093, 172.68333794392032, 222.39598373707892, 251.3019436030703, 292.78327249525535, 322.55415957295276, 336.0766791176467, 311.251903446329, 259.3055125728757, 239.05601754706302, 174.38778959199092, 151.49796212573534)","(173.91492647317807, 180.9118360572013, 233.06975943080556, 259.65827788735874, 304.88686053678987, 324.7473643936458, 344.10013771969983, 314.3396662674791, 258.22035336902536, 234.4474935719066, 165.47030863653976, 156.11678586523897)"
"(167.82141946276587, 172.49321864140282, 222.20914850381808, 251.1394380369408, 292.52797463880285, 322.3389432458251, 335.91027896876926, 311.15021834698814, 259.372957440878, 239.00998848886536, 174.37068476360864, 151.46861518823002)","(174.2381114613786, 181.201215526047, 233.41507546405558, 260.0126847416435, 305.2764302948118, 325.0079731252861, 344.46166117783804, 314.5411776619351, 258.22696796520023, 234.44485285830015, 165.3323979430101, 156.23677582684653)"
"(167.67229864465946, 172.2927260909075, 222.0097614403699, 250.96451031955047, 292.2543259173779, 322.1126215923713, 335.7164823315768, 311.0359423255556, 259.421877629615, 238.96409788050255, 174.3608446937166, 151.43561253059687)","(174.56129644957912, 181.49059499489272, 233.7603914973056, 260.3670915959283, 305.66600005283374, 325.26858185692646, 344.82318463597613, 314.7426890563911, 258.23358256137504, 234.44221214469374, 165.19448724948046, 156.35676578845408)"
"(167.51075485068796, 172.08388162785826, 221.79989312828968, 250.7790497752303, 291.9651443662974, 321.8773813484698, 335.49809191478073, 310.9104567023362, 259.45296279097516, 238.91880379928352, 174.35809384059462, 151.39944845811306)","(174.88448143777953, 181.77997446373854, 234.1057075305555, 260.7214984502132, 306.05556981085556, 325.5291905885668, 345.18470809411434, 314.94420045084706, 258.2401971575499, 234.4395714310873, 165.0565765559508, 156.47675575006164)"
"(167.3385508425389, 171.8686553548673, 221.58158697651243, 250.58493850109383, 291.6632359953881, 321.6353620476037, 335.2580071386958, 310.7751816114116, 259.46707097112045, 238.87452355923506, 174.36218455093874, 151.36061539036405)","(175.20766642598005, 182.06935393258425, 234.4510235638055, 261.07590530449795, 306.4451395688775, 325.7897993202071, 345.54623155225244, 315.1457118453031, 258.2468117537247, 234.4369307174809, 164.91866586242122, 156.59674571166917)"
"(167.15744176335636, 171.6489461745591, 221.35683699361115, 250.38402848700335, 291.3513618744718, 321.388632637081, 334.9991819437261, 310.6315570967408, 259.4652053964771, 238.8316300456635, 174.37280402621602, 151.3195981630078)","(175.53085141418057, 182.35873340143007, 234.7963395970554, 261.4303121587827, 306.83470932689943, 326.05040805184734, 345.90775501039064, 315.34722323975905, 258.2534263498996, 234.43429000387448, 164.78075516889157, 156.71673567327673)"
"(166.9691562110018, 171.42656418756815, 221.12756767217616, 250.1781206549936, 291.03220785057323, 321.1391707184018, 334.7245842077092, 310.48102479075465, 259.4484902976146, 238.79044909350566, 174.3895819095569, 151.27686874780738)","(175.8540364023811, 182.64811287027578, 235.14165563030542, 261.7847190130675, 307.22427908492136, 326.3110167834877, 346.26927846852874, 315.54873463421507, 258.2600409460744, 234.43164929026804, 164.64284447536193, 156.8367256348843)"
"(166.77537877257265, 171.20321558273682, 220.8956161730344, 249.9689460550415, 290.7083572486673, 320.88884459297117, 334.43715739758454, 310.3250104727253, 259.4181463092809, 238.7512579004075, 174.41209834209548, 151.23288146267598)","(176.1772213905815, 182.9374923391216, 235.48697166355544, 262.1391258673524, 307.6138488429432, 326.571625515128, 346.63080192666683, 315.75024602867103, 258.2666555422493, 234.42900857666163, 164.50493378183228, 156.95671559649185)"
"(166.57773419704003, 170.98049009100802, 220.66271694282312, 249.75814939541797, 290.38226682758744, 320.6393982250148, 334.1397849977287, 310.16490777209026, 259.37546595781566, 238.71428444084052, 174.4398923338104, 151.1880687296526)","(176.50040637878203, 183.2268718079673, 235.83228769680534, 262.49353272163717, 308.0034186009651, 326.83223424676834, 346.99232538480504, 315.95175742312705, 258.2732701384241, 234.4263678630552, 164.36702308830263, 157.07670555809938)"
"(166.37777334509624, 170.75985102140606, 220.43048884510182, 249.54727502726445, 290.0562461817459, 320.39243916685353, 333.8352581670015, 310.0020632450676, 259.3217897094251, 238.6797078254041, 174.47247029349722, 151.14283742416285)","(176.82359136698255, 183.51625127681314, 236.17760373005535, 262.84793957592194, 308.39298835898705, 327.09284297840867, 347.35384884294314, 316.153268817583, 258.27988473459897, 234.42372714944878, 164.22911239477298, 157.19669551970694)"
"(166.17696101714523, 170.54262784787903, 220.20042483384577, 249.33775544594272, 289.7324406995951, 320.1494294291125, 333.52624698178977, 309.83776301252664, 259.25848300611744, 238.6476595302838, 174.50931456548238, 151.09756584407094)","(177.14677635518296, 183.80563074565885, 236.52291976330537, 263.20234643020683, 308.782558117009, 327.3534517100489, 347.71537230108135, 316.35478021203903, 258.28649933077384, 234.42108643584234, 164.09120170124334, 157.3166854813145)"
"(165.97666572257322, 170.3300112705304, 219.97388414980105, 249.13090231741307, 289.41281811312473, 319.9116792211946, 333.2152755257875, 309.67322110443945, 259.186914662369, 238.61822540601722, 174.54989182693248, 151.05260131232112)","(177.4699613433835, 184.09501021450467, 236.86823579655527, 263.5567532844916, 309.1721278750309, 327.6140604416892, 348.07689575921944, 316.556291606495, 258.29311392694865, 234.41844572223593, 163.95329100771374, 157.43667544292205)"
"(165.77815141671527, 170.12305063460542, 219.75208697565395, 248.9278999875344, 289.0991586007885, 319.68034343644075, 332.9047009914395, 309.5095696125962, 259.108436936782, 238.5914483625071, 174.5936612088867, 151.00825841281005)","(177.793146331584, 184.38438968335038, 237.21355182980528, 263.9111601387764, 309.56169763305275, 327.87466917332955, 348.43841921735765, 316.75780300095096, 258.2997285231235, 234.4158050086295, 163.8153803141841, 157.55666540452958)"
"(165.58257119694238, 169.92265355605144, 219.53611144598634, 248.72980138668538, 288.7930483404764, 319.45642071255253, 332.5966968652606, 309.3478507098365, 259.0243675310722, 238.56733161872108, 174.64008201611873, 150.964817845883)","(178.11633131978442, 184.6737691521961, 237.5588678630553, 264.26556699306116, 309.9512673910747, 328.1352779049699, 348.79994267549574, 316.959314395407, 258.30634311929833, 234.41316429502308, 163.67746962065445, 157.67665536613714)"
"(165.39096291662815, 169.72958757388463, 219.32689287311086, 248.53752620221803, 288.4958763506317, 319.2407548615547, 332.2932401817105, 309.1890105519704, 258.93597370561054, 238.54584240070847, 174.688620935227, 150.9225258778173)","(178.43951630798495, 184.9631486210419, 237.9041838963052, 264.61997384734605, 310.3408371490966, 328.3958866366102, 349.16146613363384, 317.16082578986294, 258.3129577154732, 234.41052358141664, 163.5395589271248, 157.7966453277447)"
"(165.2042466459289, 169.5444836271386, 219.12522502049524, 248.35186115748843, 288.2088344071947, 319.03403843504844, 331.9961027497595, 309.033895038868, 258.84445863822253, 238.5269159703037, 174.73875863649678, 150.88159434810012)","(178.76270129618547, 185.25252808988762, 238.2494999295552, 264.9743807016308, 310.73040690711855, 328.65649536825043, 349.52298959177205, 317.36233718431896, 258.319572311648, 234.40788286781023, 163.40164823359515, 157.91663528935226)"
"(165.02322388175804, 169.36784113784233, 218.93176323183354, 248.17346220888652, 287.9329197823231, 318.83681816975724, 331.7068461842027, 308.88324737476813, 258.75095009266374, 238.51045986892478, 174.78999569258528, 150.84220118940735)","(179.08588628438588, 185.54190755873344, 238.59481596280511, 265.3287875559156, 311.11997666514037, 328.91710409989076, 349.88451304991014, 317.5638485787749, 258.3261869078229, 234.4052421542038, 163.2637375400655, 158.03662525095982)"
"(164.84857838639772, 169.20003447112546, 218.74702920598148, 248.00285845151285, 287.6689405180722, 318.64950204518686, 331.4268205112932, 308.7377073354356, 258.6564914065709, 238.49635826587973, 174.84185775542878, 150.80449140807013)","(179.4090712725864, 185.83128702757915, 238.94013199605513, 265.6831944102005, 311.5095464231623, 329.1777128315311, 350.24603650804835, 317.76535997323094, 258.3328015039977, 234.40260144059738, 163.12582684653586, 158.15661521256735)"
"(164.6808785151078, 169.04132053888353, 218.5714171958795, 247.8404575098549, 287.41752292445136, 318.4723676792056, 331.1571660661508, 308.5978121219384, 258.5620347569286, 238.48447630815554, 174.89389995144188, 150.76857846753362)","(179.73225626078693, 186.12066649642497, 239.28544802930514, 266.03760126448526, 311.89911618118424, 329.4383215631714, 350.60755996618644, 317.9668713676869, 258.33941610017257, 234.39996072699094, 162.98791615300627, 158.2766051741749)"
"(164.52058087801788, 168.8918473140543, 218.40520140303985, 247.68655218175675, 287.1791209763062, 318.30557178796465, 330.8988183580889, 308.4639986579092, 258.46843661515044, 238.4746643783329, 174.945710473564, 150.73454601386038)","(180.05544124898734, 186.41004596527068, 239.63076406255504, 266.39200811877004, 312.2886859392062, 329.69893029481176, 350.96908342432454, 318.1683827621429, 258.3460306963474, 234.39732001338453, 162.85000545947662, 158.39659513578246)"
"(164.36803517056302, 168.75166302795216, 218.24854433785794, 247.54132810176353, 286.95402727687093, 318.14916044313657, 330.6525155495921, 308.33660716941495, 258.3764552644428, 238.4667621785597, 174.99691336653325, 150.70244988065105)","(180.37862623718786, 186.6994254341165, 239.97608009580506, 266.7464149730549, 312.678255697228, 329.959539026452, 351.33060688246275, 318.3698941565989, 258.35264529252225, 234.3946792997781, 162.71209476594697, 158.51658509739002)"
"(164.22348999971126, 168.62072583270825, 218.10150591950065, 247.40487219304975, 286.74238525699957, 318.0030798711961, 330.41880817495667, 308.21588587402204, 258.2867502196293, 238.4606025709363, 175.04717051850332, 150.67232031073485)","(180.70181122538838, 186.98880490296222, 240.32139612905507, 267.1008218273397, 313.06782545524993, 330.2201477580923, 351.69213034060084, 318.5714055510549, 258.3592598886971, 234.39203858617168, 162.57418407241732, 158.63657505899755)"
"(164.08709953009244, 168.49891372404522, 217.96405309692693, 247.2771816850064, 286.54420228725706, 317.8671875555728, 330.19807071509734, 308.10199659820813, 258.1998833642716, 238.4560151177375, 175.09618288739182, 150.6441643334721)","(181.0249962135888, 187.27818437180804, 240.66671216230498, 267.4552286816245, 313.45739521327187, 330.48075648973264, 352.05365379873905, 318.7729169455109, 258.36587448487194, 234.38939787256524, 162.43627337888768, 158.7565650206051)"
"(163.95893077466104, 168.3860345357216, 217.83606978414173, 247.1581734854952, 286.35936339436904, 317.7412634221206, 329.99051464502, 307.9950211396815, 258.1163216016737, 238.45282927815873, 175.14369100385449, 150.6179682393251)","(181.34818120178932, 187.56756384065375, 241.012028195555, 267.80963553590925, 313.8469649712938, 330.741365221373, 352.41517725687714, 318.9744283399669, 258.3724890810468, 234.38675715895883, 162.29836268535803, 158.87655498221267)"
"(163.8389713584265, 168.28183583534832, 217.71736691746923, 247.04769371207138, 286.1876452930434, 317.62502091061975, 329.79620257903395, 307.8949681930573, 258.0364408049746, 238.45087723131442, 175.1894748042862, 150.59370009728735)","(181.67136618998984, 187.85694330949946, 241.357344228805, 268.16404239019414, 314.23653472931574, 331.0019739530133, 352.77670071501535, 319.17593973442285, 258.3791036772216, 234.3841164453524, 162.16045199182838, 158.99654494382023)"
