SVM,REG
"(163.13693107643263, 184.89712966903275, 249.05411007279505, 303.6853475166922, 330.73991804512264, 341.4409444697171, 363.81894446231615, 336.01802834936086, 292.9632450061628, 259.1582221340026, 191.95281894504043, 161.17618489881272)","(170.9865595611285, 197.89775078369905, 266.6226018808777, 306.0995376175548, 344.3057053291536, 345.3196238244514, 374.3706347962383, 345.29771943573667, 300.23492163009405, 256.49944357366775, 187.37532131661436, 155.56239811912224)"
"(163.0080029100255, 184.81199958836524, 249.00759630537527, 303.4473546909504, 330.56508113003764, 341.4175072168541, 363.6616105453504, 335.91829363786576, 292.89256700982514, 259.04913161688387, 192.0350522833076, 161.11091714691398)","(171.0612039026452, 198.1742681659681, 267.06993818463593, 306.58963447923634, 344.8371869606565, 345.50746777147685, 374.7864253636716, 345.6486257969075, 300.4662554154486, 256.53988561515973, 187.13265489063434, 155.35327938431192)"
"(162.8930724707159, 184.73520876226, 248.95072408794104, 303.1897182609586, 330.3717139747308, 341.37627895935714, 363.48142961020136, 335.8018202621229, 292.81591854020786, 258.93478464015647, 192.1228170244915, 161.04937365314677)","(171.13584824416188, 198.45078554823715, 267.51727448839415, 307.0797313409179, 345.36866859215934, 345.69531171850235, 375.2022159311049, 345.9995321580783, 300.69758920080307, 256.5803276566518, 186.88998846465427, 155.1441606495016)"
"(162.7922957867128, 184.66656090588882, 248.8841712901787, 302.91485774586397, 330.16183941514623, 341.31826411599235, 363.28045692120793, 335.66961193047644, 292.7336868804694, 258.8161274682173, 192.21560465420623, 160.99235046152282)","(171.21049258567854, 198.7273029305062, 267.9646107921525, 307.5698282025994, 345.9001502236624, 345.8831556655278, 375.6180064985383, 346.350438519249, 300.9289229861576, 256.6207696981438, 186.6473220386742, 154.93504191469128)"
"(162.70565556331286, 184.60578311402537, 248.80866577941174, 302.62520496476566, 329.9375288551573, 341.2445870152433, 363.0608508373814, 335.5227875053443, 292.6463041389957, 258.6940746501168, 192.31289063012773, 160.94051513268582)","(171.28513692719523, 199.00382031277525, 268.4119470959107, 308.05992506428095, 346.4316318551653, 346.0709996125533, 376.0337970659716, 346.7013448804198, 301.1602567715121, 256.66121173963586, 186.4046556126941, 154.7259231798809)"
"(162.63297126215696, 184.55253620161722, 248.7249770848061, 302.32318037748865, 329.70087765339275, 341.1564738994751, 362.82484363721284, 335.3625670355986, 292.55424314573236, 258.56950394147907, 192.4141368099573, 160.89440538661856)","(171.3597812687119, 199.2803376950443, 268.8592833996689, 308.55002192596237, 346.96311348666836, 346.25884355957874, 376.4495876334049, 347.0522512415906, 301.3915905568666, 256.70165378112785, 186.16198918671404, 154.5168044450706)"
"(162.57391141152945, 184.50642537977475, 248.63390786800537, 302.011170704913, 329.4539813477281, 341.05523407162775, 362.5747125914276, 335.1902563426475, 292.45801253750534, 258.44325191494187, 192.5187943193276, 160.854430117167)","(171.43442561022857, 199.55685507731323, 269.30661970342715, 309.0401187876439, 347.4945951181712, 346.4466875066042, 376.86537820083834, 347.40315760276144, 301.62292434222115, 256.7420958226199, 185.91932276073402, 154.30768571026027)"
"(162.52800777127635, 184.4670110282532, 248.53628529175975, 301.69150804686166, 329.1989130252516, 340.94224053553046, 362.3127517271379, 335.0072304747826, 292.3581511405624, 258.31611023329464, 192.62630681909465, 160.8208725898457)","(171.50906995174526, 199.83337245958228, 269.75395600718537, 309.53021564932544, 348.0260767496741, 346.6345314536297, 377.28116876827164, 347.75406396393225, 301.85425812757563, 256.7825378641119, 185.67665633475394, 154.09856697544996)"
"(162.49467095712885, 184.43381934048395, 248.43295238208705, 301.36645068587654, 328.93770211547826, 340.8189104825158, 362.04124469862546, 334.8149163650638, 292.2552217765433, 258.1888225577608, 192.7361141184118, 160.79389560346752)","(171.58371429326195, 200.10988984185133, 270.2012923109436, 310.020312511007, 348.55755838117716, 346.8223754006551, 377.69695933570495, 348.10497032510307, 302.08559191293017, 256.8229799056039, 185.43398990877387, 153.88944824063964)"
"(162.47320712135033, 184.4063526368553, 248.32475948205172, 301.0381657340707, 328.672314850393, 340.6866859699599, 361.7624391442514, 334.6147750393225, 292.1498046317679, 258.0620820631253, 192.84765606860955, 160.773548371925)","(171.6583586347786, 200.38640722412038, 270.6486286147018, 310.5104093726885, 349.08904001268, 347.0102193476806, 378.11274990313836, 348.45587668627377, 302.31692569828465, 256.86342194709596, 185.1913234827938, 153.68032950582932)"
