DULUTH,BURLINGTON,DAVENPORT,DES MOINES,DUBUQUE,SIOUX CITY,CHARLES CITY,KEOKUK,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(164, 129, 194, 243, 275, 339, 300, 279, 203, 196, 115, 114, 2552)","(130, 134, 184, 261, 290, 370, 338, 329, 225, 202, 137, 118, 2717)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(147.0, 131.5, 189.0, 252.0, 282.5, 354.5, 319.0, 304.0, 214.0, 199.0, 126.0, 116.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(167, 181, 181, 244, 313, 329, 390, 319, 200, 230, 213, 144, 2910)","(164, 210, 167, 282, 276, 345, 377, 329, 195, 214, 164, 85, 2806)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(165.5, 195.5, 174.0, 263.0, 294.5, 337.0, 383.5, 324.0, 197.5, 222.0, 188.5, 114.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(174, 168, 215, 310, 241, 222, 268, 218, 198, 233, 122, 102, 2472)","(196, 191, 148, 236, 219, 157, 213, 168, 173, 151, 87, 87, 2024)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(185.0, 179.5, 181.5, 273.0, 230.0, 189.5, 240.5, 193.0, 185.5, 192.0, 104.5, 94.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(166, 185, 182, 205, 256, 280, 325, 250, 193, 221, 154, 112, 2528)","(107, 129, 112, 160, 162, 270, 278, 242, 244, 245, 179, 150, 2276)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(136.5, 157.0, 147.0, 182.5, 209.0, 275.0, 301.5, 246.0, 218.5, 233.0, 166.5, 131.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(122, 120, 142, 256, 280, 306, 329, 335, 241, 213, 208, 154, 2706)","(176, 183, 219, 269, 326, 292, 286, 247, 160, 153, 169, 146, 2625)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(149.0, 151.5, 180.5, 262.5, 303.0, 299.0, 307.5, 291.0, 200.5, 183.0, 188.5, 150.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(158, 195, 174, 237, 279, 278, 278, 310, 221, 206, 181, 191, 2708)","(178, 178, 124, 184, 232, 298, 217, 209, 209, 198, 169, 152, 2350)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201, 201, 138, 243, 211, 247, 308, 287, 192, 180, 155, 168, 2532)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(179.0, 191.33, 145.33, 221.33, 240.67, 274.33, 267.67, 268.67, 207.33, 194.67, 168.33, 170.33)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(156, 193, 163, 256, 310, 337, 348, 300, 216, 176, 94, 103, 2651)","(117, 168, 135, 247, 256, 284, 353, 283, 237, 161, 85, 86, 2412)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(126, 174, 147, 255, 279, 349, 386, 330, 282, 213, 115, 221, 2878)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(133.0, 178.33, 148.33, 252.67, 281.67, 323.33, 362.33, 304.33, 245.0, 183.33, 98.0, 136.67)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(81, 142, 197, 206, 202, 260, 321, 290, 231, 220, 172, 107, 2427)","(97, 167, 185, 192, 177, 247, 273, 242, 175, 190, 181, 113, 2240)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(124, 196, 258, 323, 334, 373, 381, 336, 286, 253, 206, 137, 3207)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(100.67, 168.33, 213.33, 240.33, 237.67, 293.33, 325.0, 289.33, 230.67, 221.0, 186.33, 119.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(181, 157, 190, 250, 227, 242, 309, 279, 298, 206, 160, 172, 2671)","(158, 157, 203, 246, 220, 287, 389, 292, 254, 195, 139, 124, 2664)","(240, 201, 217, 279, 259, 238, 309, 283, 291, 172, 163, 155, 2807)","(249, 204, 232, 300, 317, 333, 378, 346, 332, 249, 173, 174, 3287)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(207.0, 179.75, 210.5, 268.75, 255.75, 275.0, 346.25, 300.0, 293.75, 205.5, 158.75, 156.25)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(82, 142, 181, 189, 299, 282, 290, 361, 238, 202, 99, 110, 2474)","(88, 110, 167, 166, 266, 216, 301, 277, 202, 199, 134, 102, 2229)","(104, 131, 204, 188, 241, 230, 255, 349, 207, 192, 139, 98, 2339)","(134, 163, 255, 234, 318, 340, 373, 356, 245, 232, 135, 99, 2883)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(102.0, 136.5, 201.75, 194.25, 281.0, 267.0, 304.75, 335.75, 223.0, 206.25, 126.75, 102.25)"
