SVM,REG
"(157.94928581490285, 163.9694763822151, 204.21881538088795, 237.321058437768, 282.1680384031032, 312.23896597353286, 344.05729289289167, 297.036506196862, 242.3524550857227, 204.60674633728942, 144.33481759539123, 129.50137835444053)","(163.49949059561132, 161.518855799373, 208.93655172413793, 230.312170846395, 282.016724137931, 317.76476489028215, 343.7813166144201, 304.24801724137933, 253.95028996865204, 213.42326018808777, 144.63443573667712, 136.0135736677116)"
"(157.7800206582756, 163.9422893802618, 204.14695322720246, 237.37172944522, 282.1755938982141, 312.0819179981238, 344.1136924411596, 296.9456733413111, 242.17056182673556, 204.55257384035676, 144.30816488123313, 129.46883179933866)","(163.6803448275862, 161.47064316156525, 209.01638741150364, 230.23867008911276, 282.11382110527984, 318.00294908597795, 343.8599774576451, 304.3678424500722, 254.23953295058294, 213.5088875876158, 144.5699874079814, 136.10815601775212)"
"(157.6078726537597, 163.92373135544236, 204.0801639082832, 237.42507650349916, 282.1792901770354, 311.9287037867962, 344.1757709201074, 296.8755938075481, 241.99661139458053, 204.51888240965027, 144.3024721046135, 129.440189871519)","(163.86119905956113, 161.4224305237575, 209.09622309886936, 230.16516933183053, 282.2109180726286, 318.2411332816738, 343.93863830087, 304.4876676587651, 254.52877593251384, 213.5945149871438, 144.50553907928568, 136.20273836779262)"
"(157.43406506281414, 163.9139146188048, 204.0188195040438, 237.4806054269506, 282.1791652511368, 311.7801188976175, 344.24294420028224, 296.8256412093492, 241.8307496626596, 204.5046437322255, 144.3165991114624, 129.4153348417651)","(164.04205329153606, 161.37421788594975, 209.17605878623507, 230.09166857454827, 282.3080150399775, 318.4793174773696, 344.017299144095, 304.60749286745795, 254.81801891444474, 213.68014238667183, 144.44109075058998, 136.29732071783312)"
"(157.25975580524099, 163.91284029917708, 203.96319807615023, 237.53782963400334, 282.17530043488034, 311.63686407675283, 344.31462627442806, 296.7950179849612, 241.67307036635174, 204.5087038390984, 144.34925285738422, 129.39411465238865)","(164.222907523511, 161.326005248142, 209.2558944736008, 230.01816781726603, 282.40511200732624, 318.7175016730654, 344.09595998731993, 304.7273180761509, 255.10726189637563, 213.76576978619985, 144.37664242189425, 136.39190306787364)"
"(157.08602946264858, 163.92040197768233, 203.91348490132765, 237.59627571146862, 282.1678177251672, 311.49954175320454, 344.3902315358577, 296.78277473985116, 241.5236176220798, 204.52980381349775, 144.39901456495437, 129.37634930112165)","(164.40376175548593, 161.27779261033425, 209.3357301609665, 229.9446670599838, 282.50220897467506, 318.95568586876124, 344.1746208305449, 304.8471432848438, 255.39650487830653, 213.85139718572788, 144.31219409319854, 136.48648541791414)"
"(156.9138907449108, 163.93639112519617, 203.86977541628286, 237.65548836852957, 282.15687655788867, 311.3686543225007, 344.469177366271, 296.7878307904774, 241.382388580853, 204.56660076112448, 144.46436719570573, 129.3618369288396)","(164.5846159874608, 161.2295799725265, 209.41556584833222, 229.87116630270157, 282.5993059420239, 319.19387006445703, 344.2532816737699, 304.9669684935367, 255.68574786023743, 213.9370245852559, 144.24774576450284, 136.58106776795464)"
"(156.7442594232266, 163.96050414672808, 203.83207968951777, 237.71503474646815, 282.14267003456564, 311.2446041487188, 344.55088700074566, 296.8089954960612, 241.24933621155603, 204.61768870857847, 144.5437227016938, 129.350359519664)","(164.76547021943574, 161.18136733471874, 209.49540153569794, 229.79766554541933, 282.69640290937264, 319.4320542601529, 344.33194251699484, 305.08679370222956, 255.97499084216832, 214.02265198478392, 144.1832974358071, 136.67565011799516)"
"(156.57796670754658, 163.99235081005128, 203.80032821174927, 237.7745080652414, 282.1254207208005, 311.1276951801354, 344.6347926212332, 296.8449899710747, 241.1243722080973, 204.68161911277508, 144.63544856184274, 129.34168814357966)","(164.94632445141067, 161.13315469691096, 209.57523722306365, 229.7241647881371, 282.7934998767215, 319.6702384558487, 344.4106033602198, 305.20661891092243, 256.2642338240992, 214.10827938431194, 144.1188491071114, 136.77023246803566)"
"(156.41575302240167, 164.03146381621838, 203.7743787803654, 237.83353060206122, 282.1053761232485, 311.01813604437564, 344.720338616577, 296.8944687855504, 241.00737001254953, 204.75692068626478, 144.7378931575985, 129.3355876924876)","(165.1271786833856, 161.0849420591032, 209.65507291042937, 229.65066403085484, 282.8905968440703, 319.9084226515445, 344.4892642034448, 305.32644411961536, 256.5534768060301, 214.19390678383994, 144.0544007784157, 136.86481481807616)"
"(156.2582671139389, 164.0773092570284, 203.75402424426167, 237.89175600993346, 282.0828039538452, 310.9160444647283, 344.8069849371397, 296.9560412825701, 240.89816794379587, 204.84211827024447, 144.84940959881956, 129.33182108003828)","(165.30803291536054, 161.03672942129546, 209.73490859779508, 229.5771632735726, 282.9876938114191, 320.1466068472403, 344.56792504666976, 305.4462693283083, 256.842719787961, 214.27953418336796, 143.98995244972, 136.95939716811665)"
"(156.10606640254957, 164.12929769898835, 203.73900087322113, 237.9488709955125, 282.05798728910185, 310.82145282062703, 344.89421046574347, 297.0282921714584, 240.7965724181354, 204.93575051794684, 144.96837767233052, 129.3301528932006)","(165.48888714733542, 160.98851678348768, 209.8147442851608, 229.50366251629038, 283.0847907787679, 320.3847910429362, 344.6465858898947, 305.56609453700116, 257.1319627698919, 214.36516158289598, 143.92550412102426, 137.05397951815718)"
"(155.95961848008523, 164.18679563457084, 203.72899712023877, 238.00459638551754, 282.03121972859736, 310.73431466232915, 344.98151632378824, 297.10980109017436, 240.70236124502125, 205.03638618518718, 145.0932236501594, 129.33035249899936)","(165.66974137931035, 160.94030414567993, 209.89457997252651, 229.43016175900814, 283.1818877461167, 320.62297523863197, 344.72524673311966, 305.68591974569404, 257.4212057518228, 214.450788982424, 143.86105579232856, 137.14856186819767)"
"(155.81930363842062, 164.24913704915704, 203.72366255519572, 238.058687619281, 282.00280065061827, 310.6545119825215, 345.06842903197673, 297.19916086999166, 240.61528697781912, 205.14263886125218, 145.2224377602492, 129.33219662298302)","(165.85059561128529, 160.89209150787218, 209.97441565989223, 229.3566610017259, 283.27898471346555, 320.86115943432776, 344.8039075763446, 305.8057449543869, 257.7104487337537, 214.53641638195202, 143.79660746363285, 137.24314421823817)"
"(155.68541830708327, 164.31563486537195, 203.72261676328887, 238.11093471174337, 281.97303065456566, 310.58186304574724, 345.15450344878786, 297.294994278522, 240.53508029639457, 205.25318001111992, 145.35458918757368, 129.3354714266697)","(166.03144984326022, 160.84387887006443, 210.05425134725795, 229.28316024444368, 283.3760816808143, 321.0993436300236, 344.88256841956957, 305.92557016307984, 257.9996917156846, 214.62204378148004, 143.73215913493712, 137.3377265682787)"
"(155.55817927177728, 164.3855920448302, 203.72545802075012, 238.16116173640148, 281.9422072696345, 310.5161305798271, 345.2393254163335, 297.3959690622142, 240.46145339565052, 205.36675023829895, 145.48833853645073, 129.33997411946504)","(166.2123040752351, 160.79566623225668, 210.13408703462366, 229.20965948716142, 283.4731786481631, 321.3375278257194, 344.9612292627946, 306.04539537177277, 258.2889346976154, 214.70767118100807, 143.66771080624142, 137.4323089183192)"
"(155.43772854277043, 164.45831214979182, 203.73177158273015, 238.2092258814152, 281.9106209977953, 310.45703014137035, 345.3225140520654, 297.5008111554126, 240.39410335200816, 205.48216871547908, 145.62244774399954, 129.34551414644253)","(166.39315830721003, 160.74745359444893, 210.21392272198938, 229.13615872987918, 283.57027561551195, 321.57571202141526, 345.0398901060195, 306.16522058046564, 258.5781776795463, 214.7932985805361, 143.6032624775457, 137.5268912683597)"
"(155.32413874209718, 164.5331091929881, 203.7411374428418, 238.2550161343717, 281.87855174668783, 310.4042384794372, 345.4037236354803, 297.6083159686947, 240.33271543837938, 205.59834076686644, 145.75578748891272, 129.351913997089)","(166.57401253918496, 160.69924095664118, 210.2937584093551, 229.06265797259695, 283.6673725828607, 321.81389621711105, 345.11855094924454, 306.2850457891585, 258.8674206614772, 214.8789259800641, 143.53881414884998, 137.62147361840022)"
"(155.2174188811187, 164.60931663199156, 203.75313744983393, 238.29845165220223, 281.8462656951015, 310.35740173678215, 345.4826450509638, 297.7173577134481, 240.27696635751016, 205.71426362076505, 145.8873421880512, 129.35900968186633)","(166.7548667711599, 160.65102831883343, 210.3735940967208, 228.98915721531472, 283.7644695502096, 322.0520804128069, 345.1972117924695, 306.4048709978514, 259.1566636434081, 214.96455337959213, 143.47436582015428, 137.7160559684407)"
"(155.11752040488648, 164.6862953940534, 203.7673616933305, 238.33947987256803, 281.8140126206749, 310.3161433461468, 345.5590067607002, 297.82689676149687, 240.22652736373007, 205.8290303829942, 146.01621271510618, 129.3666509234839)","(166.93572100313483, 160.60281568102565, 210.45342978408652, 228.9156564580325, 283.86156651755834, 322.2902646085027, 345.27587263569444, 306.5246962065443, 259.445906625339, 215.05018077912015, 143.40991749145857, 137.8106383184812)"
"(155.02434338666117, 164.7634408474124, 203.78341409671012, 238.37807442181415, 281.78202370666975, 310.2800714990629, 345.6325752946209, 297.9359850772173, 240.18106724413516, 205.94183231052563, 146.1416170102459, 129.37470110840104)","(167.1165752351097, 160.5546030432179, 210.53326547145224, 228.84215570075025, 283.95866348490716, 322.5284488041985, 345.3545334789194, 306.64452141523725, 259.7351496072699, 215.13580817864818, 143.34546916276284, 137.90522066852174)"
