SVM,REG
"(140.4175055710241, 155.16551175071055, 194.16413357612376, 227.25613215543714, 279.60556026939156, 306.4668883716463, 330.6436052606017, 290.4927240084338, 241.91887632294478, 207.97732226864, 136.81911177988144, 112.47003165767559)","(141.41954545454547, 144.92290752351101, 188.57645768025083, 217.99857366771164, 268.0313871473354, 295.1319514106584, 315.0583072100312, 288.7660501567398, 242.26197492163007, 203.14241379310346, 124.84332288401254, 114.85478056426336)"
"(140.33042229061877, 155.18311838205798, 194.21160196793022, 227.4194242451607, 279.5870809168656, 306.55662897068294, 330.92129649016664, 290.5307681829377, 241.94418334474264, 208.0469581182106, 137.00084040223015, 112.61121612486606)","(141.46891470888664, 144.77778644640915, 188.412442939664, 217.75814580324754, 267.77299901377205, 294.82034306646483, 314.6398677397766, 288.5801850938678, 242.20527006797926, 202.92971522665636, 124.43045833186568, 114.7124620478321)"
"(140.23620686789653, 155.20157990357808, 194.26474560832608, 227.58236644688898, 279.57827793988594, 306.657035003736, 331.19283416987173, 290.58659922997015, 241.97668096084396, 208.1342871721427, 137.19382133397764, 112.75992720023608)","(141.5182839632278, 144.63266536930723, 188.24842819907718, 217.51771793878345, 267.5146108802086, 294.50873472227124, 314.221428269522, 288.39432003099574, 242.14856521432847, 202.71701666020925, 124.01759377971882, 114.57014353140084)"
"(140.13614060613537, 155.22113310254423, 194.32299479629043, 227.74392281514437, 279.5788349186445, 306.7674309939531, 331.4570738781952, 290.6588063482223, 242.01544157172054, 208.23808855937287, 137.39642222123646, 112.9147694384453)","(141.56765321756893, 144.4875442922053, 188.08441345849042, 217.27729007431935, 267.2562227466451, 294.19712637807766, 313.80298879926727, 288.2084549681237, 242.09186036067766, 202.5043180937621, 123.60472922757208, 114.42782501496953)"
"(140.03146426204935, 155.24197558916796, 194.38577059997738, 227.90312047711058, 279.5883401329458, 306.88704745403464, 331.7130332635834, 290.74589247734593, 242.0595483559503, 208.35703935932926, 137.60700119617522, 113.07438153820823)","(141.6170224719101, 144.34242321510345, 187.9203987179036, 217.03686220985526, 266.99783461308164, 293.88551803388407, 313.38454932901266, 288.02258990525166, 242.03515550702684, 202.291619527315, 123.19186467542522, 114.28550649853827)"
"(139.9233650380392, 155.2642623516591, 194.45248947506985, 228.0590584607964, 279.606297358947, 307.0150335638398, 331.9598879725624, 290.84629741889654, 242.10810716858646, 208.48973304250043, 137.8239258308469, 113.23744949052589)","(141.66639172625128, 144.19730213800153, 187.75638397731677, 216.79643434539122, 266.73944647951816, 293.5739096896905, 312.96610985875793, 287.8367248423796, 241.97845065337606, 202.0789209608679, 122.77900012327848, 114.14318798210701)"
"(139.8129656025384, 155.2881036724763, 194.52256792368595, 228.21091511387516, 279.63213755799666, 307.1504708976067, 332.1969659141736, 290.9584207814495, 242.1602569833833, 208.63469848847143, 138.04559102992528, 113.402718155334)","(141.71576098059245, 144.0521810608996, 187.59236923673, 216.55600648092712, 266.4810583459547, 293.2623013454969, 312.5476703885033, 287.6508597795076, 241.92174579972524, 201.8662223944208, 122.36613557113162, 114.00086946567575)"
"(139.70131514358397, 155.31356436639192, 194.59542713333752, 228.35795402927542, 279.66523117001617, 307.2923878694997, 332.4237400920657, 291.08064433392275, 242.2151788073263, 208.7904192569681, 138.2704356193946, 113.56900118795308)","(141.76513023493362, 143.90705998379775, 187.42835449614319, 216.31557861646303, 266.2226702123912, 292.9506930013033, 312.1292309182487, 287.46499471663554, 241.86504094607443, 201.6535238279737, 121.95327101898488, 113.85855094924449)"
"(139.589382419111, 155.34066426603914, 194.67049753284346, 228.49952842874393, 279.7049007283285, 307.4397745680012, 332.6398202418407, 291.2113533858077, 242.272103036903, 208.955352788748, 138.4969574268946, 113.73518927548425)","(141.8144994892748, 143.76193890669583, 187.26433975555636, 216.07515075199893, 265.96428207882786, 292.6390846571097, 311.710791447994, 287.2791296537635, 241.80833609242364, 201.44082526152653, 121.54040646683802, 113.71623243281323)"
"(139.4780507307834, 155.36937985044295, 194.74722320120642, 228.63508399064781, 279.7504335239296, 307.591597659254, 332.844943512015, 291.348956855135, 242.3303152635154, 209.12794922190636, 138.72372669023912, 113.90025667964234)","(141.86386874361594, 143.6168178295939, 187.10032501496954, 215.83472288753484, 265.7058939452644, 292.32747631291613, 311.2923519777394, 287.09326459089147, 241.75163123877283, 201.22812669507942, 121.12754191469128, 113.57391391638197)"
