DULUTH,NEW ORLEANS,SHREVEPORT,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(113, 162, 197, 216, 250, 154, 135, 224, 306, 192, 187, 113, 2249)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(113.0, 162.0, 197.0, 216.0, 250.0, 154.0, 135.0, 224.0, 306.0, 192.0, 187.0, 113.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(178, 145, 253, 269, 295, 214, 186, 155, 246, 272, 173, 137, 2523)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(178.0, 145.0, 253.0, 269.0, 295.0, 214.0, 186.0, 155.0, 246.0, 272.0, 173.0, 137.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(183, 132, 168, 229, 296, 349, 161, 166, 119, 250, 178, 133, 2363)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(183.0, 132.0, 168.0, 229.0, 296.0, 349.0, 161.0, 166.0, 119.0, 250.0, 178.0, 133.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(182, 133, 187, 273, 230, 216, 191, 172, 305, 230, 217, 216, 2551)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(182.0, 133.0, 187.0, 273.0, 230.0, 216.0, 191.0, 172.0, 305.0, 230.0, 217.0, 216.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(202, 151, 256, 318, 360, 289, 169, 169, 228, 252, 165, 161, 2719)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(202.0, 151.0, 256.0, 318.0, 360.0, 289.0, 169.0, 169.0, 228.0, 252.0, 165.0, 161.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(178, 136, 206, 229, 194, 313, 274, 233, 221, 215, 123, 106, 2427)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(178.0, 136.0, 206.0, 229.0, 194.0, 313.0, 274.0, 233.0, 221.0, 215.0, 123.0, 106.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(138, 116, 158, 172, 255, 297, 258, 243, 188, 197, 197, 162, 2379)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(138.0, 116.0, 158.0, 172.0, 255.0, 297.0, 258.0, 243.0, 188.0, 197.0, 197.0, 162.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(165, 207, 274, 233, 222, 333, 299, 230, 183, 185, 142, 136, 2610)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(165.0, 207.0, 274.0, 233.0, 222.0, 333.0, 299.0, 230.0, 183.0, 185.0, 142.0, 136.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(181, 199, 269, 262, 312, 281, 213, 256, 139, 286, 197, 170, 2766)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(181.0, 199.0, 269.0, 262.0, 312.0, 281.0, 213.0, 256.0, 139.0, 286.0, 197.0, 170.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(163, 145, 211, 214, 227, 251, 194, 216, 292, 276, 238, 176, 2602)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(163.0, 145.0, 211.0, 214.0, 227.0, 251.0, 194.0, 216.0, 292.0, 276.0, 238.0, 176.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(250, 187, 342, 332, 308, 315, 279, 298, 252, 228, 210, 151, 3151)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(250.0, 187.0, 342.0, 332.0, 308.0, 315.0, 279.0, 298.0, 252.0, 228.0, 210.0, 151.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201, 193, 232, 192, 331, 256, 194, 232, 204, 230, 160, 112, 2536)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(201.0, 193.0, 232.0, 192.0, 331.0, 256.0, 194.0, 232.0, 204.0, 230.0, 160.0, 112.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(138, 142, 182, 173, 278, 191, 224, 225, 187, 143, 189, 87, 2158)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(138.0, 142.0, 182.0, 173.0, 278.0, 191.0, 224.0, 225.0, 187.0, 143.0, 189.0, 87.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(92, 172, 192, 323, 334, 284, 246, 263, 158, 248, 193, 128, 2632)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(92.0, 172.0, 192.0, 323.0, 334.0, 284.0, 246.0, 263.0, 158.0, 248.0, 193.0, 128.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(215, 180, 253, 270, 334, 264, 206, 151, 210, 180, 180, 108, 2550)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(215.0, 180.0, 253.0, 270.0, 334.0, 264.0, 206.0, 151.0, 210.0, 180.0, 180.0, 108.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155, 181, 229, 307, 312, 305, 338, 281, 260, 246, 236, 139, 2988)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155.0, 181.0, 229.0, 307.0, 312.0, 305.0, 338.0, 281.0, 260.0, 246.0, 236.0, 139.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(123, 215, 283, 261, 317, 311, 281, 313, 286, 286, 212, 133, 3020)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(123.0, 215.0, 283.0, 261.0, 317.0, 311.0, 281.0, 313.0, 286.0, 286.0, 212.0, 133.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(124, 183, 154, 271, 264, 250, 220, 208, 198, 298, 259, 150, 2579)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(124.0, 183.0, 154.0, 271.0, 264.0, 250.0, 220.0, 208.0, 198.0, 298.0, 259.0, 150.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(186, 135, 207, 186, 305, 263, 237, 166, 206, 164, 188, 127, 2370)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(186.0, 135.0, 207.0, 186.0, 305.0, 263.0, 237.0, 166.0, 206.0, 164.0, 188.0, 127.0)"
