SVM,REG
"(162.16575685096845, 161.86918456143172, 218.2359077925827, 235.68139663207336, 283.51852130743623, 286.5831199958987, 287.83505530670016, 268.0452655405435, 247.42144969500612, 245.40012881269288, 186.53663382438143, 153.60450311276185)","(151.17594043887146, 166.7260971786834, 211.78565830720999, 229.34443573667704, 273.3593260188087, 299.51332288401244, 320.71159874608134, 304.17358934169283, 252.70728840125392, 244.48393416927897, 177.79584639498432, 164.43025078369908)"
"(162.25481554449834, 161.79343876312396, 218.29086094655406, 235.9374738446566, 283.68222330787864, 286.58804386489777, 287.6743632550407, 267.91766203299346, 247.53513415977284, 245.42112165474742, 186.56330379498092, 153.40831729168806)","(151.00011887570003, 166.77344052692754, 211.68367616498182, 229.0562105949067, 273.1619615371068, 299.8067785565848, 321.7481464196401, 305.0823676517207, 252.95964830404003, 244.48050878799617, 177.53998186044873, 164.71200820682623)"
"(162.34123847878087, 161.72185869487546, 218.33655795146575, 236.18365726012024, 283.8551588363587, 286.591819332733, 287.4978837060134, 267.7975097778971, 247.63959530399586, 245.46123079644173, 186.60576161287514, 153.2149258463868)","(150.82429731252859, 166.8207838751717, 211.58169402275365, 228.76798545313648, 272.9645970554048, 300.100234229157, 322.78469409319837, 305.99114596174854, 253.21200820682608, 244.47708340671338, 177.28411732591314, 164.99376562995326)"
"(162.42439266986503, 161.65528581729137, 218.37272224594324, 236.4186254749754, 284.0355531788825, 286.59430701648944, 287.3066397606533, 267.68416922868, 247.7338737579293, 245.51889974905632, 186.66314384291616, 153.02543403703228)","(150.64847574935715, 166.86812722341585, 211.47971188052549, 228.47976031136625, 272.76723257370287, 300.3936899017294, 323.8212417667571, 306.8999242717762, 253.4643681096122, 244.47365802543058, 177.02825279137755, 165.2755230530803)"
"(162.50370978684796, 161.59442919329453, 218.39918334306907, 236.64127699771376, 284.22166678194617, 286.59540694984787, 287.10178167740264, 267.57699909833724, 247.81720282393024, 245.59252482010334, 186.73449257968338, 152.84085329132822)","(150.47265418618576, 166.91547057166002, 211.37772973829732, 228.1915351695959, 272.56986809200095, 300.6871455743016, 324.8577894403154, 307.808702581804, 253.7167280123983, 244.47023264414779, 176.77238825684196, 165.55728047620732)"
"(162.578692525634, 161.53986136169962, 218.41587889858644, 236.8507290129809, 284.41181360279234, 286.5950562260963, 286.88457084514465, 267.47537052844507, 247.88901017808465, 245.68047331614528, 186.818767254444, 152.66209406596494)","(150.29683262301432, 166.9628139199042, 211.27574759606912, 227.90331002782568, 272.37250361029896, 300.98060124687396, 325.89433711387414, 308.7174808918319, 253.96908791518436, 244.46680726286496, 176.51652372230637, 165.83903789933436)"
"(162.64891932620606, 161.49201726654903, 218.42285467860552, 237.04631289018278, 284.60437770897016, 286.59322622303154, 286.65636229290135, 267.37867948848645, 247.9489160103345, 245.78110113580638, 186.91485749029246, 152.48996039143643)","(150.12101105984289, 167.01015726814836, 211.17376545384096, 227.61508488605534, 272.17513912859704, 301.2740569194462, 326.93088478743243, 309.62625920185974, 254.22144781797047, 244.46338188158217, 176.26065918777078, 166.1207953224614)"
"(162.7140474144593, 161.451196048357, 218.4202624662839, 237.22756673142942, 284.7978279480194, 286.58991950624807, 286.4185861066011, 267.28635727693717, 247.9967278291203, 245.89276956764914, 187.0215967705268, 152.32514613517483)","(149.94518949667145, 167.05750061639253, 211.0717833116128, 227.32685974428512, 271.97777464689506, 301.56751259201855, 327.9674324609912, 310.5350375118876, 254.47380772075658, 244.45995650029937, 176.0047946532352, 166.40255274558842)"
"(162.773814191466, 161.41756544782072, 218.40835600055976, 237.3942252929928, 284.99073055229314, 286.58516650356074, 286.1727281336505, 267.19787905239116, 248.03243221934338, 246.0138611220698, 187.13777666782747, 152.16823298347336)","(149.7693679335, 167.1048439646367, 210.96980116938462, 227.03863460251478, 271.78041016519313, 301.8609682645909, 329.00398013454947, 311.44381582191545, 254.72616762354264, 244.45653111901657, 175.7489301186996, 166.68431016871546)"
"(162.82803703201884, 161.39116852744138, 218.3874850890513, 237.54620764387724, 285.1817595890424, 286.5790220379019, 285.9203103574013, 267.1127703776692, 248.05618389495484, 246.14279424355394, 187.2621613713249, 152.01969010887842)","(149.59354637032862, 167.15218731288084, 210.86781902715646, 226.75040946074455, 271.5830456834912, 302.15442393716313, 330.0405278081082, 312.3525941319433, 254.97852752632875, 244.45310573773378, 175.49306558416401, 166.9660675918426)"
