DULUTH,MINNEAPOLIS,ST PAUL,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(132, 165, 200, 263, 325, 348, 299, 223, 178, 180, 109, 103, 2525)","(132.0, 165.0, 200.0, 263.0, 325.0, 348.0, 299.0, 223.0, 178.0, 180.0, 109.0, 103.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(143, 201, 180, 227, 293, 276, 334, 320, 198, 217, 159, 107, 2655)","(143.0, 201.0, 180.0, 227.0, 293.0, 276.0, 334.0, 320.0, 198.0, 217.0, 159.0, 107.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(171, 180, 194, 238, 233, 266, 281, 268, 212, 186, 88, 93, 2408)","(171.0, 180.0, 194.0, 238.0, 233.0, 266.0, 281.0, 268.0, 212.0, 186.0, 88.0, 93.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(115, 203, 163, 214, 246, 316, 297, 218, 208, 210, 138, 123, 2451)","(115.0, 203.0, 163.0, 214.0, 246.0, 316.0, 297.0, 218.0, 208.0, 210.0, 138.0, 123.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(163, 160, 108, 232, 269, 238, 287, 282, 177, 140, 182, 97, 2334)","(163.0, 160.0, 108.0, 232.0, 269.0, 238.0, 287.0, 282.0, 177.0, 140.0, 182.0, 97.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(158, 210, 152, 223, 204, 198, 300, 262, 216, 176, 136, 150, 2385)","(158.0, 210.0, 152.0, 223.0, 204.0, 198.0, 300.0, 262.0, 216.0, 176.0, 136.0, 150.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(133, 194, 202, 268, 246, 306, 341, 277, 228, 150, 109, 92, 2547)","(133.0, 194.0, 202.0, 268.0, 246.0, 306.0, 341.0, 277.0, 228.0, 150.0, 109.0, 92.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(67, 185, 216, 287, 255, 321, 364, 313, 222, 219, 168, 110, 2727)","(67.0, 185.0, 216.0, 287.0, 255.0, 321.0, 364.0, 313.0, 222.0, 219.0, 168.0, 110.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(171, 166, 232, 259, 228, 257, 367, 338, 307, 226, 146, 160, 2857)","(171.0, 166.0, 232.0, 259.0, 228.0, 257.0, 367.0, 338.0, 307.0, 226.0, 146.0, 160.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(151, 175, 228, 243, 308, 309, 352, 318, 219, 169, 100, 89, 2661)","(151.0, 175.0, 228.0, 243.0, 308.0, 309.0, 352.0, 318.0, 219.0, 169.0, 100.0, 89.0)"
