SVM,REG
"(143.79738502703344, 163.32900740813238, 204.50592327698394, 233.74169711456554, 280.5717315148482, 293.4514575344571, 331.6494760252187, 283.5261829058031, 216.31680418349296, 167.03896095955332, 113.85916638599217, 107.35371106961486)","(143.34952978056427, 155.68534482758628, 207.0987460815047, 231.48040752351096, 276.24568965517244, 292.77938871473356, 326.5873824451411, 282.5137147335423, 211.8636363636364, 159.6171630094044, 97.78879310344837, 105.76606583072098)"
"(143.74084653023132, 163.36193204182536, 204.55401442641553, 233.88574563714516, 280.48729647429326, 293.59623950395996, 331.7373988621266, 283.67200559576247, 216.34610084377846, 167.1079522850765, 113.9953963201149, 107.34756156181186)","(143.4250554753267, 155.5149695325984, 207.09662393011868, 231.43476806030077, 276.32309534711703, 292.7534914233384, 326.47762495156917, 282.4164744109048, 211.79034729315632, 159.27569476242468, 97.44913881159528, 105.69377619668202)"
"(143.68177516580582, 163.39333575547695, 204.5982759149882, 234.01126785821924, 280.3851413197377, 293.72778031708873, 331.8184182203827, 283.81688792512995, 216.3779916643167, 167.2032559131067, 114.12393099121815, 107.34059334203411)","(143.5005811700891, 155.34459423761058, 207.09450177873268, 231.38912859709063, 276.4005010390617, 292.72759413194325, 326.36786745799725, 282.3192340882674, 211.71705822267623, 158.93422651544506, 97.1094845197423, 105.62148656264307)"
"(143.6208301598195, 163.42327933736914, 204.63843976883484, 234.11806261419542, 280.2667776074043, 293.84594582935915, 331.89291445774404, 283.959831045107, 216.41214698226287, 167.32324267007257, 114.24437190814047, 107.33265888460583)","(143.57610686485154, 155.17421894262276, 207.09237962734667, 231.34348913388044, 276.4779067310063, 292.7016968405481, 326.25810996442533, 282.2219937656299, 211.64376915219614, 158.59275826846533, 96.7698302278892, 105.54919692860412)"
"(143.5586438889698, 163.45181783683475, 204.67429111307808, 234.20615341686215, 280.133796659745, 293.9507275726314, 331.9613032863784, 284.0999207617797, 216.44824797045672, 167.46612626384325, 114.35641520332257, 107.32362335164588)","(143.65163255961397, 155.00384364763488, 207.09025747596067, 231.29784967067027, 276.5553124229509, 292.67579954915294, 326.14835247085347, 282.12475344299247, 211.57048008171606, 158.25129002148572, 96.43017593603611, 105.47690729456517)"
"(143.49581608481338, 163.47900054649688, 204.70566951215568, 234.27577625458815, 279.98784705470524, 294.0422371885899, 332.02402318617715, 284.236332552077, 216.4859868669529, 167.6299895874625, 114.45985145880897, 107.31336963929226)","(143.72715825437638, 154.83346835264706, 207.08813532457467, 231.2522102074601, 276.63271811489557, 292.64990225775773, 326.03859497728155, 282.027513120355, 211.49719101123597, 157.90982177450599, 96.09052164418313, 105.40461766052621)"
"(143.4329088140757, 163.5048712310466, 204.73246947214102, 234.3273646298276, 279.83061238981924, 294.12069964931203, 332.0815239564553, 284.36833520041444, 216.5250672368637, 167.81281178321723, 114.55456407855206, 107.30180249714334)","(143.8026839491388, 154.66309305765918, 207.08601317318866, 231.20657074424992, 276.7101238068402, 292.6240049663626, 325.92883748370963, 281.9302727977176, 211.4239019407559, 157.56835352752637, 95.75086735233003, 105.33232802648726)"
"(143.3704422748808, 163.52946855982924, 204.7546400939433, 234.3615322529118, 279.66378967094727, 294.186445367343, 332.13425652733866, 284.4952930513752, 216.56520428448331, 168.01249561053012, 114.64052628738523, 107.2888516686578)","(143.87820964390124, 154.49271776267136, 207.08389102180266, 231.16093128103975, 276.7875294987848, 292.5981076749674, 325.81907999013777, 281.83303247508013, 211.35061287027582, 157.22688528054664, 95.41121306047694, 105.26003839244831)"
"(143.30889143320488, 163.55282669891443, 204.77218388741687, 234.37905383831963, 279.48906864821004, 294.23990131888485, 332.18266410877635, 284.6166668985516, 216.60612522481497, 168.22689467221585, 114.71779686578283, 107.27447403441403)","(143.95373533866368, 154.32234246768348, 207.08176887041665, 231.1152918178296, 276.86493519072945, 292.57221038357227, 325.70932249656585, 281.7357921524426, 211.27732379979574, 156.88541703356702, 95.07155876862396, 105.18774875840933)"
"(143.24868350814782, 163.5749760183686, 204.78515477716195, 234.38084446435232, 279.3081123887771, 294.28158132258886, 332.22717471419685, 284.73201355364137, 216.64756971540112, 168.4538400732282, 114.78651475415863, 107.25865477214849)","(144.02926103342608, 154.15196717269566, 207.07964671903065, 231.0696523546194, 276.9423408826741, 292.5463130921771, 325.5995650029939, 281.63855182980524, 211.20403472931565, 156.5439487865873, 94.73190447677086, 105.11545912437037)"
