DULUTH,DEVILS LAKE,FARGO,BISMARK,WILLISTON,ELLENDALE,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(161, 146, 210, 285, 344, 321, 375, 283, 176, 200, 171, 121, 2792)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(161.0, 146.0, 210.0, 285.0, 344.0, 321.0, 375.0, 283.0, 176.0, 200.0, 171.0, 121.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(154, 181, 207, 217, 369, 242, 314, 282, 168, 218, 164, 87, 2603)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(154.0, 181.0, 207.0, 217.0, 369.0, 242.0, 314.0, 282.0, 168.0, 218.0, 164.0, 87.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(168, 124, 160, 256, 261, 264, 337, 286, 288, 221, 119, 123, 2605)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(168.0, 124.0, 160.0, 256.0, 261.0, 264.0, 337.0, 286.0, 288.0, 221.0, 119.0, 123.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(122, 230, 190, 272, 284, 313, 358, 251, 219, 260, 162, 121, 2781)","(162, 222, 270, 309, 255, 268, 324, 247, 161, 231, 94, 133, 2674)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(142.0, 226.0, 230.0, 290.5, 269.5, 290.5, 341.0, 249.0, 190.0, 245.5, 128.0, 127.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(159, 141, 159, 229, 256, 307, 364, 309, 243, 191, 197, 114, 2670)","(119, 195, 209, 202, 262, 230, 337, 253, 159, 205, 177, 113, 2459)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(139.0, 168.0, 184.0, 215.5, 259.0, 268.5, 350.5, 281.0, 201.0, 198.0, 187.0, 113.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(177, 226, 190, 287, 232, 201, 343, 284, 210, 169, 150, 152, 2621)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(152, 226, 184, 294, 240, 243, 323, 286, 225, 171, 147, 169, 2659)","(139, 216, 174, 297, 189, 213, 284, 324, 231, 174, 118, 140, 2497)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(156.0, 222.67, 182.67, 292.67, 220.33, 219.0, 316.67, 298.0, 222.0, 171.33, 138.33, 153.67)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(172, 106, 178, 228, 185, 277, 332, 286, 226, 184, 112, 102, 2389)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(203, 189, 232, 278, 217, 238, 339, 285, 266, 214, 109, 96, 2666)","(156, 150, 239, 208, 164, -99, -99, 254, 292, 164, 90, 105, -99)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(177.0, 148.33, 216.33, 238.0, 188.67, 257.5, 335.5, 275.0, 261.33, 187.33, 103.67, 101.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(116, 198, 240, 182, 215, 205, 293, 264, 218, 237, 143, 148, 2458)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(162, 199, 246, 233, 280, 313, 365, 354, 271, 273, 203, 163, 3062)","(106, 165, 188, 137, 202, 276, 210, -99, 210, 249, 121, 129, -99)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(128.0, 187.33, 224.67, 184.0, 232.33, 264.67, 289.33, 309.0, 233.0, 253.0, 155.67, 146.67)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(151, 159, 185, 256, 241, 225, 272, 318, 253, 135, 148, 137, 2480)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(148, 153, 105, 250, 249, 287, 319, 255, 237, 147, 123, 116, 2388)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(149.5, 156.0, 145.0, 253.0, 245.0, 256.0, 295.5, 286.5, 245.0, 141.0, 135.5, 126.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(140, 134, 213, 237, 267, 334, 339, 325, 288, 181, 141, 97, 2697)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(123, 127, 152, 213, 260, 258, 285, 299, 180, 219, 129, 117, 2362)","(142, 159, 208, 254, 273, 324, 317, 375, 286, 183, 93, 55, 2669)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(135.0, 140.0, 191.0, 234.67, 266.67, 305.33, 313.67, 333.0, 251.33, 194.33, 121.0, 89.67)"
