SVM,REG
"(139.14835518001246, 164.29240042074, 217.0597905352196, 253.4788098409276, 288.5679103772313, 302.3632085548473, 356.56964377262375, 313.9706622577242, 242.42285473799362, 189.78726861229336, 130.09475095222544, 123.89850058288312)","(144.41169278996867, 157.54007053291537, 220.86536050156738, 244.2988009404389, 297.84378526645764, 317.4276410658307, 361.75272727272727, 322.282539184953, 242.23068181818178, 187.1085344827586, 113.77151253918487, 119.92627742946712)"
"(139.06852386747417, 164.32999317498056, 217.02814510025834, 253.4815148666319, 288.45926393060955, 302.3368399143644, 356.4405450829418, 313.9150947484297, 242.30343182918574, 189.8578261054157, 130.24132805873637, 123.98556608513088)","(144.39727730618858, 157.35404556021274, 220.97907391426858, 244.2804619421648, 298.0895649149378, 317.77903340847456, 361.9496475995914, 322.56340063752594, 242.4333273748723, 186.9876690676623, 113.45137032862522, 119.84190113064003)"
"(138.99686118731472, 164.38263283174044, 217.00049139577166, 253.46852141692582, 288.351886877223, 302.29356536041774, 356.3134135275927, 313.8531225997174, 242.18281952585477, 189.94049790498192, 130.38184920094326, 124.07646391632822)","(144.38286182240853, 157.1680205875101, 221.09278732696978, 244.2621229438907, 298.33534456341795, 318.1304257511183, 362.14656792645553, 322.844262090099, 242.63597293156278, 186.86680365256595, 113.13122811806545, 119.75752483181293)"
"(138.93386511136555, 164.44926445594163, 216.97683768973954, 253.44043440860435, 288.24640494452683, 302.23464884835744, 356.1892932530738, 313.7850811462481, 242.06186754248608, 190.03408178238777, 130.51568055634516, 124.170199969749)","(144.36844633862844, 156.9819956148075, 221.206500739671, 244.2437839456166, 298.5811242118981, 318.4818180937622, 362.3434882533197, 323.12512354267193, 242.8386184882533, 186.74593823746963, 112.8110859075058, 119.67314853298583)"
"(138.87990428348888, 164.52875510519632, 216.9571425215645, 253.39798332040593, 288.14337861497, 302.161430665463, 356.0691372127058, 313.7113543460965, 241.94138857179365, 190.13732471498048, 130.64229433329896, 124.26580551631356)","(144.35403085484836, 156.79597064210486, 221.32021415237222, 244.2254449473425, 298.82690386037825, 318.8332104364059, 362.54040858018385, 323.405984995245, 243.04126404494377, 186.62507282237328, 112.49094369694615, 119.58877223415877)"
"(138.83521827134265, 164.61990997816957, 216.941318544303, 253.34200966349022, 288.04330089460535, 302.0753074451639, 355.95379655482606, 313.63237046314305, 241.8221492817152, 190.24894214072074, 130.76127009639472, 124.36234968532946)","(144.3396153710683, 156.6099456694023, 221.43392756507342, 244.2071059490684, 299.0726835088584, 319.18460277904967, 362.737328907048, 323.6868464478179, 243.2439096016343, 186.50420740727697, 112.1708014863865, 119.50439593533167)"
"(138.7999199855844, 164.72148881026536, 216.92923695734706, 253.2734530645414, 287.9465963695461, 301.9777125848873, 355.8440126433631, 313.5485971175083, 241.70486254685852, 190.36763661503431, 130.87229420750018, 124.45895064134135)","(144.32519988728822, 156.42392069669967, 221.54764097777462, 244.1887669507943, 299.31846315733856, 319.53599512169353, 362.93424923391217, 323.96770790039096, 243.44655515832477, 186.38334199218062, 111.85065927582673, 119.42001963650458)"
"(138.77400012314095, 164.8322222215337, 216.9207323863626, 253.1933362620693, 287.8536214538182, 301.87009733735266, 355.7404117097275, 313.4605357846325, 241.59018099594658, 190.49211555940778, 130.9751575011846, 124.55478528534881)","(144.31078440350817, 156.23789572399704, 221.66135439047582, 244.17042795252019, 299.5642428058187, 319.8873874643373, 363.1311695607763, 324.248569352964, 243.6492007150153, 186.2624765770843, 111.53051706526708, 119.33564333767748)"
"(138.75733345466406, 164.95082773546943, 216.91560806911858, 253.10274933055996, 287.76466571531125, 301.7539128215944, 355.64350207227, 313.3687158372251, 241.4786919233511, 190.62110782944725, 131.06975134727602, 124.64909735486683)","(144.29636891972808, 156.05187075129442, 221.77506780317705, 244.1520889542461, 299.81002245429886, 320.23877980698114, 363.32808988764043, 324.52943080553695, 243.85184627170577, 186.14161116198795, 111.21037485470742, 119.25126703885039)"
"(138.7496867455112, 165.07602520713317, 216.9136412111325, 253.00283345297765, 287.67995415394154, 301.6305931726957, 355.5536738027774, 313.2736882354089, 241.37091358007348, 190.75337887236267, 131.1560622811159, 124.74120384431731)","(144.28195343594803, 155.8658457785918, 221.88878121587825, 244.133749955972, 300.055802102779, 320.5901721496249, 363.52501021450456, 324.81029225811, 244.0544918283963, 186.02074574689163, 110.89023264414766, 119.16689074002329)"
"(138.75072807509412, 165.20655142392528, 216.91458838334296, 252.89476455986744, 287.599650297746, 301.5015400188423, 355.4712006697992, 313.1760189786178, 241.26729282836817, 190.88774428878514, 131.23416540327588, 124.8304997135425)","(144.26753795216794, 155.67982080588916, 222.00249462857946, 244.1154109576979, 300.30158175125916, 320.94156449226864, 363.72193054136875, 325.09115371068293, 244.25713738508676, 185.8998803317953, 110.570090433588, 119.0825144411962)"
"(138.76003730158305, 165.34117367144106, 216.91819084478644, 252.7797371433209, 287.5238599782498, 301.3681084415972, 355.3962441469398, 313.07628243793226, 241.168204115352, 191.02308166010855, 131.3042167649558, 124.91646089643402)","(144.2531224683879, 155.4937958331866, 222.11620804128066, 244.0970719594238, 300.5473613997393, 321.2929568349125, 363.9188508682329, 325.372015163256, 244.4597829417773, 185.77901491669897, 110.24994822302835, 118.9981381423691)"
"(138.77711740791509, 165.4787020891186, 216.92417968596453, 252.65894853693558, 287.45263564581387, 301.2315945410617, 355.32885924120626, 312.9750546894341, 241.0739496950399, 191.15834054885627, 131.3664449630726, 124.99864566255403)","(144.2387069846078, 155.30777086048397, 222.22992145398186, 244.07873296114968, 300.79314104821947, 321.64434917755625, 364.115771195097, 325.6528766158289, 244.66242849846776, 185.65814950160262, 109.9298060124687, 118.913761843542)"
"(138.80140646078763, 165.618000674828, 216.9322807027016, 252.5335839294081, 287.3859810884286, 301.09322469263174, 355.2690018723732, 312.87290696782, 240.98476100580598, 191.29255062469517, 131.42114217046145, 125.07669442116263)","(144.22429150082775, 155.12174588778134, 222.3436348666831, 244.0603939628756, 301.0389206966996, 321.9957415202001, 364.3126915219612, 325.93373806840196, 244.8650740551583, 185.5372840865063, 109.60966380190894, 118.82938554471491)"
"(138.8322899166136, 165.75799683311067, 216.9422189252804, 252.40480235049185, 287.3238564231489, 300.9541465471976, 355.2165375191084, 312.7703993550397, 240.90080109166564, 191.42482791155768, 131.46865482210526, 125.15032808845815)","(144.20987601704766, 154.93572091507872, 222.4573482793843, 244.0420549646015, 301.2847003451798, 322.34713386284386, 364.50961184882533, 326.2145995209749, 245.06771961184882, 185.41641867140996, 109.28952159134928, 118.74500924588781)"
"(138.86911301686706, 165.89768939747125, 216.95372274300996, 252.27372383478576, 287.2661832376168, 300.81542179264835, 355.1712508410319, 312.6680748113247, 240.82216794124872, 191.55437919094524, 131.50937416849112, 125.21934516451265)","(144.19546053326758, 154.7496959423761, 222.5710616920855, 244.0237159663274, 301.5304799936599, 322.6985262054876, 364.70653217568946, 326.49546097354795, 245.27036516853929, 185.29555325631364, 108.96937938078963, 118.66063294706072)"
"(138.91119302931463, 166.03615509202788, 216.96652757966518, 252.14141793234072, 287.2128497693996, 300.678020662154, 355.1328559874379, 312.5664536459531, 240.7488986079903, 191.68050463209494, 131.5437268927857, 125.2836176860126)","(144.18104504948752, 154.56367096967347, 222.6847751047867, 244.0053769680533, 301.7762596421401, 323.0499185481315, 364.9034525025536, 326.776322426121, 245.4730107252298, 185.1746878412173, 108.64923717022987, 118.57625664823362)"
"(138.95783111062252, 166.17255343110455, 216.98037909003722, 252.0088936965469, 287.163716022699, 300.5428181445714, 355.1010073123693, 312.46602851283257, 240.68097396887066, 191.80259875069797, 131.57216597032587, 125.34308623438902)","(144.16662956570744, 154.37764599697084, 222.79848851748793, 243.98703796977918, 302.0220392906202, 323.4013108907752, 365.1003728294178, 327.05718387869393, 245.67565628192028, 185.05382242612097, 108.32909495967021, 118.49188034940656)"
"(139.00832358896693, 166.30613008627512, 216.99503586179813, 251.87709124037266, 287.11861873487214, 300.4105918250094, 355.0753102312173, 312.3672600019179, 240.6183239768437, 191.92014982384555, 131.59516192778057, 125.39775418634991)","(144.15221408192738, 154.19162102426827, 222.91220193018913, 243.9686989715051, 302.2678189391004, 323.7527032334191, 365.2972931562819, 327.338045331267, 245.8783018386108, 184.93295701102463, 108.00895274911056, 118.40750405057946)"
"(139.06197249169915, 166.4362187783387, 217.01027161972817, 251.74687491288535, 287.0773761186947, 300.28202125956244, 355.05533197500307, 312.2705728820961, 240.56083326363932, 192.0327379096055, 131.61319463611775, 125.44768139551337)","(144.1377985981473, 154.00559605156565, 223.02591534289033, 243.950359973231, 302.51359858758053, 324.10409557606283, 365.49421348314604, 327.6189067838399, 246.08094739530128, 184.8120915959283, 107.68881053855091, 118.32312775175237)"
"(139.1180951719198, 166.5622417762446, 217.02587694085767, 251.61902811014508, 287.0397923199579, 300.1576887678308, 355.04061202389096, 312.17635303497116, 240.50834695456516, 192.14003163503543, 131.6267457470493, 125.49297749024251)","(144.12338311436724, 153.81957107886302, 223.13962875559153, 243.93202097495688, 302.7593782360607, 324.4554879187067, 365.69113381001023, 327.89976823641297, 246.2835929519918, 184.69122618083196, 107.36866832799114, 118.23875145292527)"
"(139.17603291808592, 166.68370910575044, 217.0416604990806, 251.49424969896478, 287.005661543448, 300.0380815103164, 355.03067203016434, 312.08494510247795, 240.46067656483933, 192.24178392660497, 131.6362918577284, 125.53379496450192)","(144.10896763058716, 153.6335461061604, 223.25334216829273, 243.91368197668277, 303.00515788454084, 324.80688026135044, 365.88805413687436, 328.1806296889859, 246.48623850868228, 184.57036076573561, 107.04852611743149, 118.15437515409818)"
"(139.23515846160961, 166.8002165873852, 217.05744986620888, 251.37315199947648, 286.97477181327275, 299.92359470524383, 355.025025071723, 311.9966508549323, 240.41760585738427, 192.3378268621601, 131.6422984638748, 125.57032222628172)","(144.0945521468071, 153.44752113345777, 223.36705558099396, 243.89534297840868, 303.250937533021, 325.1582726039942, 366.0849744637385, 328.46149114155895, 246.6888840653728, 184.4494953506393, 106.72838390687184, 118.06999885527108)"
"(139.29488232795387, 166.91144283601153, 217.07309190321567, 251.25626024359832, 286.94690834560424, 299.81453583080105, 355.0231841090659, 311.9117282704538, 240.37889655439378, 192.4280658240667, 131.6452147378598, 125.60277675262957)","(144.08013666302702, 153.26149616075514, 223.48076899369516, 243.8770039801346, 303.49671718150114, 325.50966494663805, 366.2818947906026, 328.7423525941319, 246.89152962206327, 184.32862993554295, 106.40824169631207, 117.98562255644399)"
"(139.35465800620156, 167.01714536298354, 217.08845278057512, 251.14401340185432, 286.9218565229755, 299.7111296541281, 355.02466955068104, 311.8303913020843, 240.34429380882563, 192.51247312946614, 131.64546914614928, 125.63139848238065)","(144.06572117924696, 153.07547118805252, 223.59448240639637, 243.85866498186047, 303.7424968299813, 325.8610572892818, 366.4788151174668, 329.02321404670494, 247.0941751787538, 184.20776452044663, 106.08809948575242, 117.90124625761689)"
"(139.41398593976993, 167.11715592671518, 217.10341767020523, 251.03676625089366, 286.8994044691468, 299.6135239274081, 355.02901586287004, 311.7528102957274, 240.3135313567554, 192.5910813061835, 131.64346590033938, 125.65644355807066)","(144.05130569546688, 152.88944621534995, 223.70819581909757, 243.84032598358638, 303.98827647846144, 326.21244963192567, 366.67573544433094, 329.304075499278, 247.29682073544427, 184.08689910535028, 105.76795727519277, 117.8168699587898)"
"(139.47241636627066, 167.21137527864963, 217.1178901536509, 250.9347925386638, 286.87934523213136, 299.52179559385047, 355.03577718948753, 311.67911301054346, 240.28633628675402, 192.66397617231752, 131.63958221816557, 125.67817850801734)","(144.0368902116868, 152.70342124264732, 223.8219092317988, 243.82198698531226, 304.2340561269416, 326.5638419745694, 366.87265577119507, 329.5849369518509, 247.4994662921348, 183.96603369025397, 105.44781506463312, 117.7324936599627)"
"(139.5295510569959, 167.29976744946367, 217.1317913919361, 250.83828909352678, 286.86147859019434, 299.4359573518572, 355.04453197422464, 311.60938618386007, 240.2624333776625, 192.73128986451636, 131.63416635556842, 125.69687493887022)","(144.02247472790674, 152.5173962699447, 223.9356226445, 243.80364798703818, 304.47983577542175, 326.91523431721316, 367.06957609805926, 329.86579840442397, 247.70211184882527, 183.84516827515762, 105.12767285407335, 117.6481173611356)"
"(139.58504402578453, 167.38235371522234, 217.14505910211037, 250.74738071754834, 286.84561250150034, 299.3559644338322, 355.0548866023818, 311.5436775751436, 240.2415489709161, 192.7931939450011, 131.6275363582863, 125.71280478869174)","(144.00805924412668, 152.33137129724207, 224.0493360572012, 243.7853089887641, 304.7256154239019, 327.266626659857, 367.2664964249234, 330.1466598569969, 247.9047574055158, 183.7243028600613, 104.8075306435137, 117.56374106230851)"
"(139.6386012928606, 167.45920637553894, 217.1576463840814, 250.66212570248584, 286.8315642226165, 299.28172146648933, 355.06647810019484, 311.48199841819263, 240.22341435756152, 192.84989270113905, 131.61997947156226, 125.72623617139695)","(143.9936437603466, 152.14534632453945, 224.1630494699024, 243.76696999048997, 304.97139507238205, 327.6180190025008, 367.4634167517875, 330.42752130956995, 248.10740296220632, 183.60343744496495, 104.48738843295405, 117.47936476348144)"
"(139.68997980151946, 167.53044246602957, 217.1695204390308, 250.58252180929742, 286.8191611243559, 299.21308929169066, 355.0789759474584, 311.4243262074409, 240.20776867301365, 192.90161673435225, 131.61175213934854, 125.73742982559648)","(143.97922827656652, 151.95932135183682, 224.2767628826036, 243.74863099221588, 305.2171747208622, 327.96941134514464, 367.66033707865165, 330.7083827621429, 248.3100485188968, 183.48257202986863, 104.16724622239428, 117.39498846465435)"
"(139.73898559427144, 167.59621751593716, 217.1806612177284, 250.50851255784903, 286.8082412355521, 299.1498916403335, 355.09208307333404, 311.3706077430414, 240.19436130418845, 192.94861691789137, 131.60308051974852, 125.74663616491297)","(143.96481279278646, 151.77329637913425, 224.39047629530484, 243.73029199394176, 305.46295436934236, 328.3208036877884, 367.85725740551584, 330.98924421471594, 248.51269407558732, 183.3617066147723, 103.84710401183463, 117.31061216582725)"
"(139.78547136034254, 167.65671944918446, 217.19106003355833, 250.43999368240884, 286.7986535464206, 299.0919215661612, 355.1055361158538, 311.3207623600979, 240.18295382375106, 192.99115878598047, 131.59416144116727, 125.75409291292569)","(143.95039730900638, 151.58727140643163, 224.50418970800604, 243.71195299566767, 305.7087340178225, 328.67219603043213, 368.05417773237997, 331.2701056672889, 248.7153396322778, 183.24084119967597, 103.52696180127498, 117.22623586700016)"
"(139.82933346846988, 167.71216271373166, 217.2007181712107, 250.37681961994292, 286.79025810330285, 299.03894756116216, 355.1191050328578, 311.2746852698531, 240.17332147474136, 193.02951740044577, 131.58516372351804, 125.76002329419657)","(143.93598182522632, 151.401246433729, 224.61790312070724, 243.69361399739358, 305.95451366630266, 329.023588373076, 368.2510980592441, 331.5509671198619, 248.91798518896832, 183.11997578457962, 103.20681959071533, 117.14185956817306)"
"(139.87050859799396, 167.76278271037037, 217.20964551792235, 250.31880991160253, 286.78292592595034, 298.990719289053, 355.13259215615534, 311.23225094460486, 240.16525423573114, 193.06397272552002, 131.57622979058493, 125.76463474340741)","(143.92156634144624, 151.21522146102637, 224.73161653340844, 243.67527499911947, 306.2002933147828, 329.37498071571974, 368.4480183861083, 331.831828572435, 249.1206307456588, 182.9991103694833, 102.88667738015556, 117.05748326934597)"
