DULUTH,LINCOLN,NORTH PLATTE,VALENTINE,NORTH OMAHA,DREXEL,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(167, 130, 242, 224, 287, 370, 376, 350, 293, 231, 156, 159, 2986)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(167.0, 130.0, 242.0, 224.0, 287.0, 370.0, 376.0, 350.0, 293.0, 231.0, 156.0, 159.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(200, 205, 198, 269, 320, 347, 392, 312, 207, 214, 203, 123, 2990)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(200.0, 205.0, 198.0, 269.0, 320.0, 347.0, 392.0, 312.0, 207.0, 214.0, 203.0, 123.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(191, 136, 193, 263, 224, 209, 271, 253, 226, 219, 130, 115, 2429)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(191.0, 136.0, 193.0, 263.0, 224.0, 209.0, 271.0, 253.0, 226.0, 219.0, 130.0, 115.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(190, 183, 184, 243, 249, 307, 325, 235, 225, 240, 143, 154, 2679)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(190.0, 183.0, 184.0, 243.0, 249.0, 307.0, 325.0, 235.0, 225.0, 240.0, 143.0, 154.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(153, 172, 200, 257, 288, 250, 281, 282, 211, 190, 239, 160, 2683)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(153.0, 172.0, 200.0, 257.0, 288.0, 250.0, 281.0, 282.0, 211.0, 190.0, 239.0, 160.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(166, 205, 151, 233, 282, 283, 334, 322, 241, 211, 180, 217, 2824)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(166.0, 205.0, 151.0, 233.0, 282.0, 283.0, 334.0, 322.0, 241.0, 211.0, 180.0, 217.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(170, 195, 155, 240, 314, 346, 361, 322, 277, 214, 117, 112, 2823)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(170.0, 195.0, 155.0, 240.0, 314.0, 346.0, 361.0, 322.0, 277.0, 214.0, 117.0, 112.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(110, 195, 204, 242, 262, 308, 335, 305, 240, 237, 203, 123, 2766)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(110.0, 195.0, 204.0, 242.0, 262.0, 308.0, 335.0, 305.0, 240.0, 237.0, 203.0, 123.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(236, 187, 280, 278, 275, 295, 266, 265, 277, 166, 151, 181, 2857)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(212, 164, 207, 269, 235, 245, 318, 272, 290, 197, 185, 175, 2770)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(224.0, 175.5, 243.5, 273.5, 255.0, 270.0, 292.0, 268.5, 283.5, 181.5, 168.0, 178.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(182, 220, 231, 260, 297, 271, 336, 322, 270, 242, 180, 138, 2948)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(98, 164, 196, 201, 282, 278, 297, 362, 222, 202, 139, 106, 2546)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(140.0, 192.0, 213.5, 230.5, 289.5, 274.5, 316.5, 342.0, 246.0, 222.0, 159.5, 122.0)"
