SVM,REG
"(175.5407497692154, 177.68139017896237, 215.26966300438337, 243.63250141990224, 287.4212662393564, 317.8194272881571, 350.5248482124606, 307.79508651574383, 257.9315572375686, 225.01441908510282, 165.7802296989615, 152.31502940377771)","(174.96455329153605, 169.01384012539188, 212.89412225705328, 239.3507993730408, 281.38327586206896, 313.74198275862074, 344.4306739811912, 306.5336912225705, 257.2409090909091, 224.64181818181817, 160.83648902821318, 156.63082288401256)"
"(175.52749713817346, 177.7093087839061, 215.2484922102365, 243.6072988069186, 287.4016821068738, 317.77116121690995, 350.6011949637919, 307.7867284676032, 257.9340011330391, 224.92991296277526, 165.77362813537803, 152.39359742945197)","(174.95713773731111, 168.81915624669796, 212.78044318622096, 239.2878806664084, 281.3296211827692, 313.7163710330739, 344.349953682505, 306.52159848191326, 257.30694586312563, 224.57259193054136, 160.6506797928921, 156.65436282624776)"
"(175.5124564123453, 177.74535480420207, 215.23022063134718, 243.58945566276563, 287.3866184331054, 317.7186400327423, 350.68028421743145, 307.7909785054871, 257.93356676883445, 224.86657312529022, 165.78259967308296, 152.47337454012518)","(174.94972218308618, 168.62447236800398, 212.66676411538867, 239.22496195977604, 281.27596650346936, 313.69075930752706, 344.2692333838188, 306.509505741256, 257.37298263534217, 224.50336567926456, 160.46487055757103, 156.67790276848297)"
"(175.49567738004941, 177.78941673473818, 215.2149969849547, 243.57875394064894, 287.3761422783095, 317.66264940234777, 350.7612646340359, 307.8074130931015, 257.93003486145454, 224.8236166790364, 165.80644546344095, 152.55366056644195)","(174.94230662886125, 168.42978848931006, 212.55308504455635, 239.16204325314365, 281.2223118241696, 313.66514758198025, 344.1885130851326, 306.4974130005988, 257.4390194075587, 224.43413942798773, 160.27906132225002, 156.7014427107182)"
"(175.47722945754325, 177.84129186606452, 215.20292860371063, 243.57491818575417, 287.3702665598874, 317.60395249215475, 350.84333609415745, 307.83550650495397, 257.92326099806746, 224.80010105613175, 165.8443544214262, 152.6338074732117)","(174.9348910746363, 168.23510461061608, 212.43940597372406, 239.09912454651126, 281.1686571448698, 313.63953585643344, 344.1077927864464, 306.48532025994155, 257.50505617977524, 224.36491317671093, 160.09325208692894, 156.72498265295343)"
"(175.4572006454982, 177.90068969959245, 215.19407966547976, 243.5776203929589, 287.36895061880364, 317.543281111084, 350.9257544434648, 307.8746400459095, 257.9131734160651, 224.79494404736445, 165.89541792158272, 152.71322367586583)","(174.9274755204114, 168.04042073192215, 212.32572690289174, 239.0362058398789, 281.11500246557006, 313.6139241308866, 344.02707248776017, 306.47322751928425, 257.5710929519918, 224.2956869254341, 159.90744285160787, 156.74852259518863)"
"(175.435696170176, 177.96723710265834, 215.1884706084813, 243.58648560744993, 287.3721018734711, 317.48132807697715, 351.00783523485006, 307.9241124657951, 257.89976943150367, 224.80694489142368, 165.95864521490608, 152.79137707313555)","(174.92005996618647, 167.84573685322817, 212.21204783205943, 238.97328713324652, 281.0613477862703, 313.58831240533976, 343.946352189074, 306.461134778627, 257.63712972420836, 224.2264606741573, 159.72163361628685, 156.77206253742384)"
"(175.41283683757013, 178.04048500873733, 215.18607866399756, 243.6010981310824, 287.37957847303335, 317.4187408505885, 351.08895647794105, 307.9831513352878, 257.8831106862523, 224.8348060006666, 166.03297927346807, 152.86779684255148)","(174.91264441196154, 167.65105297453425, 212.09836876122714, 238.91036842661413, 281.00769310697046, 313.56270067979295, 343.8656318903878, 306.4490420379698, 257.7031664964249, 224.1572344228805, 159.53582438096578, 156.79560247965907)"
"(175.38875713638845, 178.11991644027944, 215.18683941372862, 243.6210081880989, 287.39119284176945, 317.356116451864, 351.1685604209085, 308.0509251372046, 257.863317402387, 224.87715491168933, 166.11731277730593, 152.94207407017095)","(174.9052288577366, 167.45636909584027, 211.98468969039482, 238.84744971998174, 280.9540384276707, 313.5370889542461, 343.7849115917016, 306.43694929731254, 257.7692032686415, 224.08800817160366, 159.35001514564476, 156.81914242189427)"
"(175.36360313215854, 178.20495561124758, 215.19064925825563, 243.64573889903812, 287.4067159901045, 317.29399764577323, 351.24615440275363, 308.1265558215873, 257.8405618446068, 224.9325660659117, 166.21050397116346, 153.0138613067253)","(174.89781330351167, 167.26168521714635, 211.87101061956253, 238.78453101334935, 280.9003837483709, 313.5114772286993, 343.70419129301536, 306.42485655665524, 257.835240040858, 224.01878192032686, 159.1642059103237, 156.84268236412947)"
