DULUTH,HURON,RAPID CITY,YANKTON,mean_col
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(183, 203, 257, 258, 370, 343, 338, 286, 233, 182, 154, 137, 2944)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(179, 147, 223, 225, 348, 367, 327, 190, 208, 230, 152, 128, 2722)","(181.0, 175.0, 240.0, 241.5, 359.0, 355.0, 332.5, 238.0, 220.5, 206.0, 153.0, 132.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(171, 206, 211, 273, 362, 284, 384, 344, 205, 208, 189, 133, 2969)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(180, 211, 207, 237, 302, 300, 396, 380, 246, 216, -99, -99, -99)","(175.5, 208.5, 209.0, 255.0, 332.0, 292.0, 390.0, 362.0, 225.5, 212.0, 189.0, 133.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(189, 185, 177, 258, 295, 274, 338, 212, 231, 224, 133, 112, 2627)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(-99, 192, 233, 328, 248, 281, 307, 232, 226, 200, 107, 67, -99)","(189.0, 188.5, 205.0, 293.0, 271.5, 277.5, 322.5, 222.0, 228.5, 212.0, 120.0, 89.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(156, 225, 241, 281, 313, 348, 353, 293, 205, 245, 203, 154, 3016)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(95, 182, 198, 236, 233, 265, 224, 275, 220, 226, 125, 93, 2372)","(125.5, 203.5, 219.5, 258.5, 273.0, 306.5, 288.5, 284.0, 212.5, 235.5, 164.0, 123.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(166, 183, 222, 274, 340, 278, 345, 314, 271, 234, 201, 118, 2946)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(127, 163, 183, 228, 254, 254, 357, 286, 248, 198, 211, 123, 2634)","(146.5, 173.0, 202.5, 251.0, 297.0, 266.0, 351.0, 300.0, 259.5, 216.0, 206.0, 120.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155, 217, 182, 271, 271, 270, 359, 349, 282, 217, 171, 201, 2947)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(161, 213, 155, 193, 229, 256, 312, 260, 256, 214, 189, 209, 2648)","(158.0, 215.0, 168.5, 232.0, 250.0, 263.0, 335.5, 304.5, 269.0, 215.5, 180.0, 205.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(186, 233, 210, 245, 264, 313, 380, 291, 252, 193, 134, 116, 2817)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(180, 224, 216, 274, 276, 329, 390, 311, 230, 190, 109, 102, 2831)","(183.0, 228.5, 213.0, 259.5, 270.0, 321.0, 385.0, 301.0, 241.0, 191.5, 121.5, 109.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(146, 217, 253, 285, 280, 280, 335, 359, 232, 267, 174, 138, 2966)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(90, 172, 208, 207, 221, 284, 314, 325, 235, 273, 189, 129, 2647)","(118.0, 194.5, 230.5, 246.0, 250.5, 282.0, 324.5, 342.0, 233.5, 270.0, 181.5, 133.5)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(177, 154, 170, 247, 263, 268, 333, 324, 293, 160, 164, 167, 2719)","(166, 144, 169, 285, 236, 310, 360, 333, 297, 187, 222, 172, 2881)","(188, 166, 199, 258, 262, 247, 319, 265, 274, 152, 168, 160, 2658)","(177.0, 154.67, 179.33, 263.33, 253.67, 275.0, 337.33, 307.33, 288.0, 166.33, 184.67, 166.33)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(166, 169, 210, 225, 318, 326, 334, 360, 243, 196, 117, 92, 2754)","(160, 194, 273, 222, 260, 290, 350, 322, 247, 257, 150, 135, 2862)","(117, 147, 216, 190, 241, 279, 281, 317, 188, 214, 146, 99, 2434)","(147.67, 170.0, 233.0, 212.33, 273.0, 298.33, 321.67, 333.0, 226.0, 222.33, 137.67, 108.67)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(155, 201, 286, 281, 327, 355, 368, 304, 214, 239, 128, 120, 2980)","(190, 212, 294, 289, 273, 320, 322, 263, 203, 224, 90, 120, 2800)","(138, 187, 287, 277, 290, 354, 368, 298, 227, 276, 172, 135, 3009)","(161.0, 200.0, 289.0, 282.33, 296.67, 343.0, 352.67, 288.33, 214.67, 246.33, 130.0, 125.0)"
"(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","(133, 195, 242, 240, 329, 358, 359, 256, 195, 146, 154, 113, 2721)","(145, 162, 250, 226, 315, 259, 295, 259, 260, 224, 171, 158, 2723)","(136, 195, 271, 200, 357, 367, 364, 269, 198, 180, 159, 127, 2823)","(138.0, 184.0, 254.33, 222.0, 333.67, 328.0, 339.33, 261.33, 217.67, 183.33, 161.33, 132.67)"
