SVM,REG
"(161.979725002385, 179.3177995234699, 224.6195641124793, 241.61412244986258, 289.80953499869327, 315.4086089839752, 352.37587898072326, 322.4689702709947, 253.65880288883352, 216.0572919636083, 157.28472608387378, 141.3133456735254)","(167.62390282131665, 173.00583072100312, 225.88317398119122, 245.24851880877742, 288.8384717868339, 318.8384639498433, 353.8697884012539, 329.8774373040753, 266.69199843260185, 218.7696473354232, 149.39336990595612, 147.88791536050155)"
"(161.90498602871713, 179.28770525557454, 224.52795810962883, 241.69177389319492, 289.8093413335161, 315.39481602405596, 352.36751521835305, 322.328276960827, 253.55483535638712, 215.94836032998595, 157.1634989763538, 141.2392941592468)","(167.78424844140753, 172.87942701912576, 225.9680512310239, 245.29308715790216, 288.96877707724286, 319.0404416892677, 353.9941988658378, 330.23662128843654, 267.016192983692, 218.8430842520517, 149.2707822021063, 148.06002122151386)"
"(161.82201084168148, 179.261700687675, 224.4357773272953, 241.76889133668593, 289.78883224835215, 315.3531584244307, 352.3572011184724, 322.1795775471418, 253.44720008031098, 215.85121098611614, 157.05263387945297, 141.15678359818207)","(167.9445940614984, 172.75302331724842, 226.0529284808566, 245.33765550702688, 289.0990823676518, 319.2424194286922, 354.1186093304216, 330.5958052727978, 267.34038753478217, 218.91652116868022, 149.1481944982565, 148.23212708252612)"
"(161.73194079281882, 179.24026308393556, 224.34363649624592, 241.84506767943023, 289.74861821413145, 315.285301759219, 352.34472220906304, 322.0239708945708, 253.33663273563468, 215.7656346793899, 156.95237872646175, 141.06645080169116)","(168.1049396815893, 172.62661961537106, 226.13780573068928, 245.3822238561516, 289.22938765806066, 319.44439716811667, 354.24301979500547, 330.95498925715896, 267.6645820858722, 218.98995808530873, 149.02560679440668, 148.40423294353843)"
"(161.63591299705826, 179.22377560311534, 224.25211488311987, 241.91991883996195, 289.6895056479142, 315.19309342695675, 352.329922365551, 321.86256211158144, 253.22387843562456, 215.69131939162642, 156.86281973015502, 140.96897370833852)","(168.26528530168017, 172.5002159134937, 226.222682980522, 245.4267922052763, 289.3596929484696, 319.64637490754114, 354.36743025958936, 331.3141732415202, 267.98877663696237, 219.06339500193724, 148.90301909055685, 148.5763388045507)"
"(161.53504621064508, 179.21252503532065, 224.16175098891458, 241.99308779399178, 289.6124782440678, 315.07852902784236, 352.31270236885376, 321.6964513864119, 253.10968061664195, 215.62786165703497, 156.78389499548294, 140.8650646419663)","(168.425630921771, 172.37381221161635, 226.30756023035468, 245.47136055440103, 289.48999823887857, 319.8483526469656, 354.49184072417313, 331.6733572258815, 268.31297118805253, 219.13683191856575, 148.78043138670705, 148.748444665563)"
"(161.43042798226426, 179.20670156629194, 224.0730382447885, 242.06424801064566, 289.51867624435465, 314.9437184900153, 352.29301757123596, 321.52672347103965, 252.9947705426874, 215.57477840952845, 156.71540938270732, 140.75546320826842)","(168.58597654186187, 172.247408509739, 226.39243748018737, 245.51592890352578, 289.6203035292875, 320.05033038639004, 354.616251188757, 332.03254121024275, 268.6371657391427, 219.21026883519426, 148.65784368285725, 148.9205505265753)"
"(161.32310321597637, 179.20640046251435, 223.98642171713468, 242.1331062470643, 289.4093741271756, 314.79085253472874, 352.2708747724281, 321.3544379107506, 252.87985759864168, 215.53151913417506, 156.65705023221454, 140.64092892240348)","(168.74632216195275, 172.12100480786162, 226.47731473002005, 245.5604972526505, 289.75060881969637, 320.2523081258145, 354.74066165334085, 332.391725194604, 268.96136029023273, 219.28370575182277, 148.53525597900742, 149.09265638758757)"
"(161.21406424530082, 179.21162553036768, 223.90229581156524, 242.1994046775276, 289.28595720570706, 314.6221700291338, 352.2463284168837, 321.18062010030326, 252.76562051413478, 215.49747810503524, 156.6084035786501, 140.522233669454)","(168.90666778204363, 171.9946011059843, 226.56219197985277, 245.6050656017752, 289.8809141101053, 320.454285865239, 354.8650721179247, 332.7509091789652, 269.2855548413229, 219.35714266845127, 148.4126682751576, 149.26476224859988)"
"(161.10424247917086, 179.22229416854276, 223.82100294496982, 242.26292234931907, 289.1498976225955, 314.439926725089, 352.21947622884136, 321.0062532313313, 252.65269963109, 215.47200650316833, 156.568970505418, 140.40015410626248)","(169.0670134021345, 171.86819740410692, 226.64706922968546, 245.64963395089995, 290.0112194005143, 320.6562636046635, 354.9894825825086, 333.11009316332644, 269.60974939241305, 219.43057958507978, 148.2900805713078, 149.4368681096122)"
