id,state,sunlight_svm,sunlight_reg
Jan-00,MN,132,132
Feb-00,MN,165,165
Mar-00,MN,200,200
Apr-00,MN,263,263
May-00,MN,325,325
Jun-00,MN,348,348
Jul-00,MN,299,299
Aug-00,MN,223,223
Sep-00,MN,178,178
Oct-00,MN,180,180
Nov-00,MN,109,109
Dec-00,MN,103,103
Jan-01,MN,143,143
Feb-01,MN,201,201
Mar-01,MN,180,180
Apr-01,MN,227,227
May-01,MN,293,293
Jun-01,MN,276,276
Jul-01,MN,334,334
Aug-01,MN,320,320
Sep-01,MN,198,198
Oct-01,MN,217,217
Nov-01,MN,159,159
Dec-01,MN,107,107
Jan-02,MN,171,171
Feb-02,MN,180,180
Mar-02,MN,194,194
Apr-02,MN,238,238
May-02,MN,233,233
Jun-02,MN,266,266
Jul-02,MN,281,281
Aug-02,MN,268,268
Sep-02,MN,212,212
Oct-02,MN,186,186
Nov-02,MN,88,88
Dec-02,MN,93,93
Jan-03,MN,115,115
Feb-03,MN,203,203
Mar-03,MN,163,163
Apr-03,MN,214,214
May-03,MN,246,246
Jun-03,MN,316,316
Jul-03,MN,297,297
Aug-03,MN,218,218
Sep-03,MN,208,208
Oct-03,MN,210,210
Nov-03,MN,138,138
Dec-03,MN,123,123
Jan-04,MN,163,163
Feb-04,MN,160,160
Mar-04,MN,108,108
Apr-04,MN,232,232
May-04,MN,269,269
Jun-04,MN,238,238
Jul-04,MN,287,287
Aug-04,MN,282,282
Sep-04,MN,177,177
Oct-04,MN,140,140
Nov-04,MN,182,182
Dec-04,MN,97,97
Jan-05,MN,158,158
Feb-05,MN,210,210
Mar-05,MN,152,152
Apr-05,MN,223,223
May-05,MN,204,204
Jun-05,MN,198,198
Jul-05,MN,300,300
Aug-05,MN,262,262
Sep-05,MN,216,216
Oct-05,MN,176,176
Nov-05,MN,136,136
Dec-05,MN,150,150
Jan-06,MN,133,133
Feb-06,MN,194,194
Mar-06,MN,202,202
Apr-06,MN,268,268
May-06,MN,246,246
Jun-06,MN,306,306
Jul-06,MN,341,341
Aug-06,MN,277,277
Sep-06,MN,228,228
Oct-06,MN,150,150
Nov-06,MN,109,109
Dec-06,MN,92,92
Jan-07,MN,67,67
Feb-07,MN,185,185
Mar-07,MN,216,216
Apr-07,MN,287,287
May-07,MN,255,255
Jun-07,MN,321,321
Jul-07,MN,364,364
Aug-07,MN,313,313
Sep-07,MN,222,222
Oct-07,MN,219,219
Nov-07,MN,168,168
Dec-07,MN,110,110
Jan-08,MN,171,171
Feb-08,MN,166,166
Mar-08,MN,232,232
Apr-08,MN,259,259
May-08,MN,228,228
Jun-08,MN,257,257
Jul-08,MN,367,367
Aug-08,MN,338,338
Sep-08,MN,307,307
Oct-08,MN,226,226
